,,▲,百貨店（販売促進担当）,販売量の動き,・９月に入って秋物商戦が始まったが、暑すぎて秋物が全然売れず、来客数も減少している。特に婦人衣料が不振である。,,
,,▲,スーパー（販売促進担当）,販売量の動き,・衣料品が大きく伸びていた３か月前に比べ、今月は残暑が厳しく、秋物がほとんど動かないことが影響し、前年比５％減である。店全体では住居品、食料品が堅調のため、前年並みを維持している。気温は必ず下がるが、下がるタイミングが遅くなればなるほど売上減の影響は大きく、取り返せない。,,
,,▲,衣料品専門店（経営者）,単価の動き,・９月は天候の影響で衣料品業界は非常に不調である。,,
,,▲,高級レストラン（店長）,来客数の動き,・ここ数か月昼のサラリーマンやＯＬ客が激減しており、たとえ100円でも昼の出費を切り詰めようという厳しい状況が強く感じられる。,,
,,▲,一般レストラン（経営者）,競争相手の様子,・９月に入り、平日の売上は例年並みか多少落ち込み気味であるが、残暑が長引いた影響からか土日、祝日の昼間の県外から来たフリー客が例年になく多い。,,
,,▲,一般レストラン（経営者）,来客数の動き,・来客数が減少しているのはもちろんだが、販売量、売上高も減少している。,,
,,▲,都市型ホテル（経営者）,来客数の動き,・市内宿泊客が激減し、前年比60％と深刻な状況である。,,
,,▲,都市型ホテル（スタッフ）,販売量の動き,・今までは２～３割あった旅行代理店関係の予約が今は１割になっている。辛うじてネット予約が３割近くなってきたが、これはやはり個人相手ということで、大きな団体はなかなか取れなくなってきている。,,
,,▲,旅行代理店（支店長）,販売量の動き,・今月は法人団体部門が最悪の動きであった。１月から今月までみても一番悪い内容である。個人も夏が終わり秋にかけて今一つ反応が鈍かったようである。,,
,,▲,通信会社（営業担当）,単価の動き,・最近は食料品等の微妙な値上げやガソリンの値上げ等で少しずつ圧迫されているような感がある。,,
,,▲,その他サービス［自動車整備業］（経営者）,来客数の動き,・４月以降前年度並みになってきたと思われた車検の入庫台数が、８月後半から徐々に落ち始め、８月の結果は５％、９月は14％減少している。,,
,,▲,住宅販売会社（経営者）,お客様の様子,・最近は客の動きが悪く、問い合わせ等も少ない。また、不動産フェアなどを行っても、人がまばらで前のような活気がなく、景気は悪くなっている。,,
,,▲,住宅販売会社（従業員）,販売量の動き,・しばらくの間、住宅ローン金利は上昇しないのではないかという見通しを持った客が増えてきており、買い急ぎの動きは全く感じられず、物件の動きは明らかに鈍くなってきている。,,
,,×,商店街（代表者）,来客数の動き,・暑さのためばかりでもないだろうが、秋物の売行きがほとんどなく、２回の３連休の人出も通常と変わりなく、せっかくの敬老の日の催事も気抜けしてしまった。,,
,,×,衣料品専門店（経営者）,お客様の様子,・残暑が厳しくて商店街に全く人が出てこない。,,
,,×,衣料品専門店（店長）,販売量の動き,・中旬以降も日中暑い日が続いたために、秋物の動きが今一つ鈍い。,,
,,×,家電量販店（店長）,販売量の動き,・地上デジタル関連商品の動きに陰りが生じている。話題性のある商品を購入する第一次需要層は購入が終わり、｢2011年までに購入すれば｣と思っている層とパーソナル使用の需要層が沈黙している。,,
,,×,タクシー運転手,お客様の様子,・今月は３連休が２回もあり、タクシーを利用する人が少なく、売上が２割ほど減少している。私用でタクシーを利用する人が少ない。,,
,,×,設計事務所（所長）,来客数の動き,・建物を建てたいという情報がほとんど入ってこない。６月20日の建築基準法の改正で、一般の人も分かってきたということもあるのか、民間では建てたいというような人は全くいないような状況である。,,
"企業
動向
関連

(北関東)",,◎,－,－,－,,
,,○,輸送用機械器具製造業（経営者）,受注価格や販売価格の動き,・取引先２～３社は受注価格、販売量、受注量共に良い状況で推移している。,,
,,○,その他製造業［環境機器］（経営者）,受注量や販売量の動き,・来月からフロン回収の規制が強化されるために、その受注量や保守、販売量の動きが活発になっている。,,
,,○,その他サービス業［情報サービス］（経営者）,受注量や販売量の動き,・客の情報化投資は活発に推移し、受注単価は厳しい状況が続いているものの、引き合い、受注量共に増加傾向にある。,,
,,□,食料品製造業（経営者）,受注価格や販売価格の動き,・原材料の値上げが相次ぐなかで、販売数は伸びていない。,,
,,□,食料品製造業（製造担当）,取引先の様子,・消費者の舌が肥えているという今でも、全体的な景気のせいか、所得に変化がないからか、安い商品の注文は増えているが会社の利益にはあまりつながっていない。,,
,,□,化学工業（経営者）,受注量や販売量の動き,・９月はフル稼働ができている。活気があるのはありがたい。工場内の塗装をしたり、かなり費用も掛かったが、工場内をきれいにする余裕が出てきている。,,
,,□,一般機械器具製造業（生産管理担当）,受注量や販売量の動き,・建設機械、油圧機器向けの受注が引き続き高水準で推移しており、四輪駆動車向け部品も夏場の季節要因に左右されずフル生産となっている。,,
,,□,輸送業（営業担当）,取引先の様子,・残暑により季節商材等の輸送量は伸びたが、燃料価格の上昇もあり収益的には厳しい部分がある。,,
,,▲,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・印刷物の受注量が大変少なくなってきている。来月に向けてもやはり少ない。,,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・メインの取引先からの受注が下降している。また、サブの取引先は在庫調整により受注がゼロである。,,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・６月をピークに受注量が徐々に減りつつある。同業他社の動き、売れ筋もどんどん狭まり、かなり減速感が出てきている。,,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・デジタルカメラ、特に高額な物は安定生産を続けているようだが、総じて他の仕事については減少傾向にある。,,
,,▲,不動産業（管理担当）,それ以外,・入居状況に変化はないが、空調設備などの大掛かりな設備機器の故障が相次いでいる。緊急に修理をしなくてはならず、予想外の修理費用が発生している。,,
,,▲,広告代理店（営業担当）,競争相手の様子,・ここ３か月くらいの間に、地場でキャリアのある同業他社の営業所撤退があった。首都圏の大手企業の進出が相次ぐなか、体力の差が地場企業にでてきている。大手資本の価格破壊により、見積額が非常に厳しくなり、売上、利益共に減少している。,,
,,▲,新聞販売店［広告］（総務担当）,受注量や販売量の動き,・９月も暑さが続き、秋物の売行きが悪いようである。例年この時期から動き出す寝具類も全く動きがないと聞いている。チラシの出稿量は91.0％と２か月連続で大きくマイナスとなっている。県内の他地域では80％台のところも出ている。,,
,,×,その他製造業［宝石・貴金属］（経営者）,受注量や販売量の動き,・宝飾品が売れていない。また、ユーザー対象の展示会も不調である。例年９月は小売店でもイベントが多く回復してくるのだが、今年は回復の兆しが見えない。売上は前年比大幅減である。,,
,,×,建設業（総務担当）,受注価格や販売価格の動き,・当社は公共工事受注割合が87％と高い比率のため、県市町村発注の公共事業の削減が続いている中で同業他社との受注競争が激化し、赤字覚悟で受注せざるを得ない工事が続いている状況である。,,
"雇用
関連

(北関東)",,◎,＊,＊,＊,,
,,○,＊,＊,＊,,
,,□,求人情報誌製作会社（経営者）,求人数の動き,・今月末並びに11月にかけて当地区に複合型商業施設がオープンする。パートの給与など賃金も上がり気味で、募集広告の給与が変更され、上昇に入っている。,,
,,□,職業安定所（職員）,求人数の動き,・新規求人、有効求人共に前年同月を下回る状況が続いている。小口求人は水準を保っており、恒常的な技術者、経験者への求人が増えている。,,
,,□,職業安定所（職員）,求人数の動き,・求人数自体横ばい状態で、大幅な変化は見られない。,,
,,□,民間職業紹介機関（経営者）,求人数の動き,・専門的、技術的職業を経験した若年層には大変多くの求人があるが、中高年と事務等一般的職業への求人は依然厳しい状況が続いている。,,
,,□,学校［短期大学］（就職担当）,求人数の動き,・直接求人も若干あるが、送る人材に苦慮する場面が多い。求人職種等が学生の志向と違っていたり、モチベーションが低いためにエントリーにすら至れないケースがあることが理由である。,,
,,▲,人材派遣会社（経営者）,雇用形態の様子,・生産関係の求人数についてはほぼ落ち着いた感じで、若干少なくなってきている。賃金の値上げは非常に難しく、ほぼ横ばいの状態で推移してきている。周辺企業等の生産稼動は住宅が若干伸びているものの、ほとんど横ばいである。,,
,,▲,人材派遣会社（営業担当）,求職者数の動き,・派遣登録者数が微増している。,,
,,▲,求人情報誌製作会社（経営者）,求人数の動き,・正社員募集は平均して少ないなか、パートアルバイト募集も若干減少気味である。特に求人募集が目立つのは、遊技場、パチンコ店などである。,,
,,×,－,－,－,,
,,,,,,,
　４．南関東（地域別調査機関：（財）日本経済研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(南関東)",,◎,観光名所（職員）,来客数の動き,・来客数は前年比122％となっている。,,
,,○,一般小売店［家電］（経理担当）,販売量の動き,・薄型テレビの売上単価は下がったものの、家事関連商品の売上単価は上がっており、客の購買意欲が増している。,,
,,○,スーパー（仕入担当）,単価の動き,・上旬は雨の日が多く、関東地方に台風が上陸し来客数減であったが、台風に備えた客単価の上昇と厳しい残暑により、飲料、アイス、サラダ、麺類を中心に販売量が増え、前年を２％ほど上回っている。,,
,,○,衣料品専門店（経営者）,販売量の動き,・リニューアルオープンをし、秋物の婦人服の動きが大変良い。,,
,,○,都市型ホテル（スタッフ）,単価の動き,・結婚披露宴の件数は予算件数に達しないが、単価が非常に伸びており売上自体は予算を達成している。,,
,,○,旅行代理店（従業員）,お客様の様子,・団体の見積件数が増えており、10回線の電話が鳴りっぱなしで日常業務が追い付かない状況である。,,
,,○,その他レジャー施設［アミューズメント］（職員）,来客数の動き,・業界の展示会で新しい製品や技術、海外メーカーの展示があり、入場者数は前年を10％上回り業界への関心の高さを感じる。,,
,,○,住宅販売会社（経営者）,来客数の動き,・分譲住宅の販売現場において来客数は相変わらず増えているものの、個人所得が増えていないためか、なかなか成約に結び付かない。特に中小企業に勤めている人は以前と全く変わらない不況感の中にいる。,,
,,□,商店街（代表者）,それ以外,・クレジットカードの取扱高が街全体で伸び続けており、業種によって良い悪いは偏っているが、来街者数も微増を続けている。,,
,,□,商店街（代表者）,販売量の動き,・暑さのため飲食店はビールの出具合が良かったが、衣料関係はカジュアルなものが売れるので単価が低く、前年と変わらない。,,
,,□,一般小売店［家電］（経営者）,販売量の動き,・設備投資の話が来ているが、家電製品の商品の出が悪く、変わらない。,,
,,□,一般小売店［衣料・雑貨］（経営者）,お客様の様子,・８月に続き猛暑で秋物の売行きが少々悪かったが、中旬頃から初秋のジャケット、オーバーブラウス、パンツ類が売れている。,,
,,□,一般小売店［鞄・袋物］（従業員）,販売量の動き,・残暑が厳しく天候に非常に左右され、秋物需要の見込みと日用品については非常に厳しい状況であるが、秋の行楽、トラベル需要については動きがいい。,,
,,□,百貨店（総務担当）,販売量の動き,・残暑が厳しく長かったので秋物衣料の立ち上がりが遅く、衣料品の売上がやや物足りない。,,
,,□,百貨店（総務担当）,お客様の様子,・購買態度は非常に慎重で、かつ個人差が大きい。,,
,,□,百貨店（広報担当）,販売量の動き,・天候不順や厳しい残暑、台風直撃の影響の中、来客数は引き続き前年を上回るペースで推移し、特に東南アジアからの来客数が引き続き増加傾向にある。８月に好調であった婦人コート等、秋冬物の動きは鈍化し、主軸のセーター、ジャケットはベストセラーがなく盛り上がりに欠けているが、天候に左右されないオリジナル商品、限定商品が好調で売上をけん引している。,,
,,□,百貨店（営業担当）,競争相手の様子,・30度を超える残暑が続いているため、秋物アパレルの動きが８月後半から非常に悪いままである。購買意欲も弱くジャケットなど単価が取れるものの動きが悪いため、客単価も低下傾向にある。,,
,,□,百貨店（販売促進担当）,お客様の様子,・台風の影響等はあるものの、催し物での集客も良好な上、来場した客の購買意欲も高く、まずまずの業績である。残暑も厳しく薄物が好調で、秋物への需要も高くなっている。,,
,,□,百貨店（店舗政策担当）,販売量の動き,・残暑、月初の台風の影響があり、紳士、婦人衣料共に苦戦が続いている。一方化粧品、雑貨等は堅調に推移しているが、全体を押し上げるほどの力強さはない。,,
,,□,百貨店（業務担当）,単価の動き,・来客数はそれほど前年を下回っていないが、売上がそれ以下になっており、単価ダウンが非常にはっきりしてきている。気温、天候の影響でも大きく売上が左右されている。,,
,,□,スーパー（経営者）,販売量の動き,・８月が猛暑で非常に悪かったが、９月に入り消費意欲が出てきて前年比はクリアしている。,,
,,□,スーパー（店長）,単価の動き,・競合が激しくなってきており、販売量は若干増えているが、単価が低下傾向にある。,,
,,□,スーパー（店長）,販売量の動き,・残暑の影響により飲料等の販売は前年を超えているが、鍋物関連等、秋冬商品の売行きが前年の７～８割程度にとどまっている。,,
,,□,スーパー（統括）,来客数の動き,・価格を打ち出した日替わりの目玉商品、数量限定商品については朝から行列を作るように非常に客の反応が良いが、それ以外の定価品については良くない。,,
,,□,コンビニ（エリア担当）,来客数の動き,・残暑と天候に恵まれ来客数が増加し、ファーストフードや飲料類を中心に販売量も伸びたが、単価の上昇がなく上向き判断には結び付かない。,,
,,□,家電量販店（経営者）,販売量の動き,・残暑の影響でエアコンは好調だがパソコン関連は苦戦している。,,
,,□,乗用車販売店（経営者）,販売量の動き,・整備は順調に入ってきているが、相変わらず販売が良くない。,,
,,□,乗用車販売店（渉外担当）,販売量の動き,・依然として燃料価格の不安定材料があることから、ハイブリッド車、コンパクト車に需要の偏りがあり苦戦している。使用年数の長期化により、点検やＩＴ関連商品、燃費改善商品等での整備台数は上向きである。,,
,,□,乗用車販売店（営業担当）,販売量の動き,・決算期で来客数は多い。以前は商品中心の商談だったが、値引きが中心になってばかりで前月と変わらない。,,
,,□,乗用車販売店（店長）,お客様の様子,・決算期であり、前年並みの来客数、また前年より若干の販売量の増加がある。,,
,,□,乗用車販売店（総務担当）,販売量の動き,・新型車投入にもかかわらず、前年比横ばいとなっている。軽自動車はそこそこ出ているが､小型車の人気がなく、例年と比較して物足りない｡,,
,,□,住関連専門店（統括）,販売量の動き,・来客数の動きはやや良くなっているが、販売量はそれほどの動きを見せず、変わらずに推移している。,,
,,□,その他専門店［雑貨］（従業員）,来客数の動き,・冬のセールに向けて少し買い惜しみのような形になり、変わらない。,,
,,□,一般レストラン（経営者）,来客数の動き,・昼の食事と夜の酒を飲む客が少しずつ増えてきているが、全体的には横ばいである。,,
,,□,都市型ホテル（スタッフ）,お客様の様子,・企業の主催する取引先招待会や、社員を対象にした納涼会、周年記念懇親会等は問い合わせがあるが、予算がかなり厳しく、会場の使用時間が長い。効率良く会場を２回転できれば予算を下げてでも取り込みをしたいが、こちらの都合と客の都合が合致しない。レストランの個人利用は女性を中心に前年から途絶えることなく微増が毎月続き、中年以上のカップルの利用も目立つ。,,
,,□,タクシー運転手,お客様の様子,・週末や月末の深夜は、短時間ではあるが乗り場に乗客の列が出来る。ターミナル駅においてはタクシーを利用する帰宅客がいつもと変わりなく列を作り、２～３か月前と景気は変わらない。,,
,,□,タクシー（団体役員）,お客様の様子,・上旬は猛暑の影響で流し営業の実車率が多少良かったが、下旬は駅構内営業において実車するまでの時間が掛かり、相対的には変わっていない。,,
,,□,通信会社（経営者）,お客様の様子,・受注単価が上がらず、横ばいである。,,
,,□,通信会社（営業担当）,お客様の様子,・デジタルサービスへの新規加入契約は増えているが、インターネットサービスについては競争が厳しく、解約も増えており、全体的には変わらない。,,
,,□,通信会社（営業担当）,販売量の動き,・インターネット、プライマリー電話は堅調に推移し目標を達成しているが、地上デジタル放送がケーブルテレビへの加入を阻害し厳しい状況である。,,
,,□,通信会社（営業担当）,販売量の動き,・営業面を強化し、多面的に間断なく実施しているため加入契約実績は上がってきているが、費用増加、解約比率等を考慮すれば、順調な業績伸張とは言い難い。,,
,,□,通信会社（営業担当）,販売量の動き,・初期費用が無料となるキャンペーンを行っているが、なかなか数字が伸びない。,,
,,□,通信会社（支店長）,販売量の動き,・敬老の日があり、シルバー向け携帯、簡単携帯の販売が好調である。,,
,,□,競馬場（職員）,競争相手の様子,・売上は前年度と同レベルで、若干の伸びはあるものの勢いはない。,,
,,□,その他レジャー施設（経営企画担当）,お客様の様子,・プロ野球はテレビ放送が減っているせいか全体的に盛り上がりが今一つだが、引き続き客のニーズは高度化しており、ニーズにマッチしなければ購買に結び付かない。,,
,,□,住宅販売会社（従業員）,販売量の動き,・土地価格が上昇しているためユーザーは慎重に見守っており購入を見合わせている。土地購入からの新築は相変わらず厳しい状況である。建て替え客についても相変わらず決断に慎重で時間が掛かり、棟当たりの請負金額も下がり気味である。,,
,,□,住宅販売会社（従業員）,販売量の動き,・住宅ローン金利が２か月連続で下がったということで販売増を期待していたが、建売住宅の耐震偽装問題が販売にかなりの影響を及ぼし、売れない状況となっている。中古住宅や土地の販売は伸びても景気は変わっていないという状況である。,,
,,▲,一般小売店［酒類］（経営者）,販売量の動き,・近隣のコンビニエンスストアが酒の免許を取得したので、リキュール類、缶ビール等の販売量が減少しており、リキュール類については賞味期限が切れるものも出てきている。,,
,,▲,一般小売店［文具］（販売企画担当）,単価の動き,・大手法人の納品は上がっている。店頭においては来客数が増えているが、家計が苦しいのか販売単価は下がっている。,,
,,▲,一般小売店［茶］（営業担当）,競争相手の様子,・取引会社の移転や合併、部所変更等の変化が多く、茶、コーヒー等のコストを削減している。当社ができないような他社のコスト削減提案とサービスの過激化で、利益が出ない苦しい競争が増えてきている。,,
,,▲,百貨店（総務担当）,単価の動き,・異常なまでの外気温度が季節商材動向に大きく影響した結果、単価が上がりきらず低調で、円高株安等の不安要因から富裕層の消費動向にも陰りが見られる。,,
,,▲,百貨店（広報担当）,来客数の動き,・秋物商材の動きが鈍く、大型催事である北海道物産展も食の安全に対する不安からか、前年割れの状況である。,,
,,▲,百貨店（営業担当）,来客数の動き,・天候が一番の原因であるが、その他の要因としてはガソリンの急騰等、経済的に不安なことで、商品の価格にも影響が出てきている。,,
,,▲,百貨店（販売促進担当）,来客数の動き,・大型ショッピングセンターのオープンと、バス停移設の影響が大きく、来客数がなかなか上がらない。人の流れが完全に変わり、難しい状況が続いている。,,
,,▲,百貨店（店長）,販売量の動き,・来客数は前年比104％と増えているが、９月に入っても残暑が例年以上に厳しいため秋物商材の動きが鈍く、ボリューム層の客の購買意欲が低い。,,
,,▲,スーパー（統括）,販売量の動き,・猛暑及び残暑等の天候不順やガソリン高騰が響いている。,,
,,▲,コンビニ（経営者）,来客数の動き,・来客数は減少し、客単価も下落している。,,
,,▲,コンビニ（店長）,お客様の様子,・３か月前比、前年比共に来客数は維持している。他の店舗を利用しつつ当店も利用しているようだが、買上点数は減少し続けている。,,
,,▲,衣料品専門店（経営者）,お客様の様子,・残暑が厳しく、客は秋物に興味を示さない。来客数は例年並みだが、一般フリー客の買上率が悪く、売上は低迷している。,,
,,▲,衣料品専門店（店長）,販売量の動き,・この時期は比較的ついで買いが多いのだが、目的のもの以外の購入があまり見られない状態である。,,
,,▲,乗用車販売店（販売担当）,販売量の動き,・５～７月は前年同月比約６割だったが、８～９月は、前年同月比約55％と、約半分に落ち込んでいる。トラックの需要は今後増加する見込みはないので、景気としては悪くなっている。,,
,,▲,その他専門店［ドラッグストア］（経営者）,販売量の動き,・暑い日が続き、秋物が売れないだけでなく、夏物も売れず大変苦戦している。特に前半はかつてないほどの悪さであったが、後半に向けての販促策によりどうにか前年値を確保している。調剤は前年９月から好調が続いていたが、１年を経て伸び悩んでいる。,,
,,▲,その他専門店［服飾雑貨］（統括）,販売量の動き,・衝動買いが減少している。,,
,,▲,その他小売［生鮮魚介卸売］（営業）,お客様の様子,・客の購入方法にムラがあり、売れる日とそうでない日の差が激しい。,,
,,▲,一般レストラン（経営者）,来客数の動き,・来客数はある程度維持しているが、外売りのケータリングが減っている。,,
,,▲,一般レストラン（店長）,来客数の動き,・夏休みや連休で消費者がレジャーにお金を費やしているのか、極端に来客数が少なくなっている。,,
,,▲,スナック（経営者）,来客数の動き,・天候のせいもあるが、８月から引き続き客足が遠のいている。,,
,,▲,都市型ホテル（スタッフ）,販売量の動き,・婚礼は伸びているが、企業の利用や法事が前年より若干落ちているため、全体的に見込み数字が伸びない現状である。,,
,,▲,通信会社（総務担当）,競争相手の様子,・当社の事業エリア内に競合企業が出現し、水面下で営業活動を展開しており、当社の客を奪いつつある。,,
,,▲,設計事務所（所長）,お客様の様子,・マンションだけが建設され、一般の個人住宅は建設されず、中小零細の建築関係業者は非常に厳しい現状である。,,
,,▲,設計事務所（所長）,競争相手の様子,・低価格競争が激しくなってきている。６月の建築基準法改正の施行があり、特に構造関係が厳しくなかなか業務を進めていけない状況である。,,
,,×,一般小売店［茶］（営業担当）,お客様の様子,・ギフトセットは缶入箱詰めの高単価な品より袋詰のお手軽ギフトの購入が目立っている。そのため客単価、売上共に落ちている。,,
,,×,百貨店（販売管理担当）,来客数の動き,・残暑が長引いている影響で、秋物衣料の購入を控える客が多い。,,
,,×,コンビニ（経営者）,単価の動き,・売上、来客数共に減少している。弁当等の買上単価が下がり、値打ち品やポイント付き商品のみ購入する客が増えている。,,
,,×,衣料品専門店（営業担当）,販売量の動き,・天候が悪く台風も来たため来客数が減り、気温も暑い日が続いたために秋物の衣料の購買力がなく、売上の悪い日が続いている。,,
"企業
動向
関連

(南関東)",,◎,－,－,－,,
,,○,出版・印刷・同関連産業（経営者）,受注量や販売量の動き,・いろいろな業種、各方面から引き合いが来ている。,,
,,○,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・社名変更による需要があり、やや特異という程度だが、印鑑だけで約10万円の客がある。景気が少し上向きになっている部分かと感じる。,,
,,○,建設業（営業担当）,受注価格や販売価格の動き,・建設単価の上昇に続き、地価が高騰し始めている。良いものを安く購入したい施主が多い中、少しずつではあるが良いものを高く買う施主も増えてきている。,,
,,○,金融業（審査担当）,それ以外,・為替相場の乱高下、市場金利の上昇等景気上昇を阻害するであろう要因があるものの、依然として企業の資金調達ニーズは強い。,,
,,○,税理士,取引先の様子,・特別な技術を持っていない製造業では相変わらず単価が低くもうけがないが、特殊技術を持っている建設業は回り切らないほど仕事がきている。,,
,,□,食料品製造業（経営者）,受注量や販売量の動き,・来客数は多くなっているが、客単価は下がっている。,,
,,□,プラスチック製品製造業（経営者）,受注量や販売量の動き,・取引先が価格転嫁を受け入れてくれたが、受注量が１～２割ほど落ち込んだので利益に変化はない。,,
,,□,電気機械器具製造業（経営者）,取引先の様子,・流通業界向け冷凍機の出荷台数は頭打ち状態で、日本国内ではリニューアル需要しか期待できず、売上も平行線をたどっている。,,
,,□,建設業（経理担当）,受注価格や販売価格の動き,・受注量は相変わらず同量確保できているが、利幅が確保できない仕事が多く、発注者側の意向を酌んで受注している状況である。,,
,,□,輸送業（営業統括）,受注量や販売量の動き,・受注量は少し多くなったが、その分価格が安くなっているのでプラスマイナスゼロで変わらない。,,
,,□,金融業（審査担当）,取引先の様子,・取引先建設業者は公共工事の入札金額が低下傾向にあり、落札しても利益が出ない状態で依然厳しい状況が続いている。,,
,,□,不動産業（総務担当）,取引先の様子,・引き続きオフィステナントは満室状態であり、一部テナントの増床希望にこたえられない状況にある。,,
,,□,経営コンサルタント,取引先の様子,・暑さが治まり、商店街の店舗等で人出は戻っているが、売上に結び付かない。,,
,,□,社会保険労務士,取引先の様子,・売却や合併があり、資金繰りの厳しい会社が見受けられる。,,
,,▲,一般機械器具製造業（経営者）,受注量や販売量の動き,・受注が半減している。,,
,,▲,一般機械器具製造業（経営者）,受注量や販売量の動き,・取引先は活気のある様子には見えず、当社に発注される仕事も減少気味である。,,
,,▲,輸送業（総務担当）,受注価格や販売価格の動き,・荷主先より、物流の合理化と運賃の値下げ見直しの強力な要請が来ている。,,
,,▲,金融業（支店長）,取引先の様子,・取引先客の法人関係の倒産件数と共に、個人客の破産宣告も増えている。,,
,,▲,不動産業（経営者）,競争相手の様子,・同業者は10人中10人が悪いと言い、どこも前年同時期に比較して売上が落ちている。,,
,,▲,その他サービス業［廃棄物処理］（経営者）,受注量や販売量の動き,・顧客先工場等の稼働率が悪くなっている影響で、受注量は前年より10％程度下回る傾向が続いている。,,
,,▲,その他サービス業［情報サービス］（従業員）,受注量や販売量の動き,・上半期が終わりに近づいても、顧客は設備投資の予算執行をせず、提案機会、概算見積提出等の件数が伸び悩み、受注まで結び付く案件が少なくなってきている。,,
,,×,出版・印刷・同関連産業（経営者）,取引先の様子,・得意先等の仕事の発注量が非常に少なくなっている。,,
,,×,建設業（経営者）,受注量や販売量の動き,・法改正により確認申請が下りないため新規物件が着工できず、景気回復どころか急降下しているのが現状である。,,
"雇用
関連

(南関東)",,◎,＊,＊,＊,,
,,○,人材派遣会社（営業担当）,求人数の動き,・金融機関の人材ひっ迫状況は続いており、預金、貸出、保険、外為業務の求人が好調である。,,
,,○,職業安定所（所長）,求人数の動き,・新規求人数が前年同月比11.3％増と２か月ぶりに増加に転じている。飲食、宿泊業の増加幅が大きい一方で、卸、小売業では３か月連続で２けたの減少が続いている。しかし依然として派遣、請負求人の割合も高い。,,
,,○,民間職業紹介機関（経営者）,求人数の動き,・直接採用がしにくいのか、スタッフレベルの求人まで人材紹介会社に依頼が増えてきている。,,
,,○,学校［短期大学］（就職担当）,採用者数の動き,・多くの人数を採用したいという求人票が増えている。,,
,,□,人材派遣会社（支店長）,それ以外,・新規契約数よりも契約終了数が上回っている。人手不足の企業からの依頼に対し満足にこたえられない状況の中、スタッフ側の都合で就業できなくなるケースも増えている。,,
,,□,求人情報誌製作会社（広報担当）,周辺企業の様子,・求人はしたいが、広告にお金を掛けたくない、との声がよく聞かれる。,,
,,□,新聞社［求人広告］（担当者）,求人数の動き,・思ったように人材を確保できない中小企業が、パート、アルバイトの賃金を上げ始めている。しかしそれも微増なため求職者には魅力的に映らず、人材確保の決め手にはなっていない。その結果、人件費が企業の収益を圧迫し、経費の締め付けにつながっており、景気の上昇と相殺されて停滞ムードとなっている。,,
,,□,職業安定所（職員）,それ以外,・新規求人数は微減したが、有効求人数は増加、また、新規求職者、有効求職者数共に減少している。新規常用求職者に占める在職者割合は３割強を示しており、より良い労働条件を求めて就職活動する人が増加している。,,
,,□,職業安定所（職員）,求人数の動き,・新規求人数は空港関連の警備職求人が増加したため、前年同月比26％増加している。しかし新規求職者数は引き続き減少しており、充足数も同比減少が続き、業種間に差も見られる。,,
,,□,職業安定所（職員）,求職者数の動き,・新規求職者は前年同月比で6.5％減少しているが、45歳以上では減少幅が小さく、65歳以上では5.8％増加している。,,
,,□,民間職業紹介機関（経営者）,採用者数の動き,・依然求人件数は高い水準にあるが、求職者の質の関係で、基準を下げてでも人を集めるといったところまではいっていない。,,
,,□,民間職業紹介機関（職員）,求職者数の動き,・求人数と共に求職者数の動きも高位安定した状態が続いているが、伸び率は鈍化してきており、上昇局面ではなくなってきている。,,
,,□,学校［専修学校］（就職担当）,求人数の動き,・求人獲得件数は、前年同月比でほぼ横ばいの状況である。,,
,,▲,＊,＊,＊,,
,,×,－,－,－,,
,,,,,,,
　５．東海（地域別調査機関：三菱ＵＦＪリサーチ＆コンサルティング（株））,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(東海)",,◎,旅行代理店（経営者）,来客数の動き,・10～12月の旅行申込件数が、増加している。,,
,,○,一般小売店［土産］（経営者）,来客数の動き,・天候が良く、来客数は増えている。財布のひもも、それほど固くない。,,
,,○,百貨店（販売担当）,お客様の様子,・秋冬のトレンド商材の動きが良くなっている。気温や季節に影響されずに使える素材や色に、人気が集まっている。,,
,,○,スーパー（店員）,単価の動き,・日によってばらつきはあるが、客単価が少し上昇してきている。それに伴い販売量も、やや増加傾向にある。,,
,,○,家電量販店（店員）,販売量の動き,・パソコンの販売台数が、前年同月比で伸びている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・新型車の販売が好調で、受注件数、売上の両方で、前年を上回っている。問い合わせ件数も多く、来客数も順調である。客の車に対する関心が、少しずつ高まってきている。,,
,,○,乗用車販売店（従業員）,販売量の動き,・中古車販売の動きは、全体的に良くなってきている。販売量もまずまずで、価格もやや上昇している。,,
,,○,旅行代理店（経営者）,来客数の動き,・夏期と比べて、問い合わせや申込の件数は増えている。特に個人客の動きが出始めてきている。,,
,,○,住宅販売会社（従業員）,来客数の動き,・猛暑が終わり、外出しやすくなったためか、来場者数が増えている。,,
