,,□,住宅販売会社（経営者）,販売量の動き,・全体的に需要が停滞している。地価等は下げ止まりつつあるが、まだ鈍い状態が続いている。,
,,▲,商店街（代表者）,来客数の動き,・台風の影響もあってか固定客の来店が主でフリー客が少なく、来客数がかなり減少している。例年であれば夕方の商店街は運動会や行楽の買物をする子供連れの主婦が目立つ時期であるが、今年は少ない。,
,,▲,商店街（代表者）,単価の動き,・ある程度の来客数はあるが、高級品は一つも売れず、安物ばかりの動きで単価が低く、売上が少ない。,
,,▲,一般小売店［金物］（経営者）,販売量の動き,・鉄鋼材料の値上げ、原油価格の高騰による諸物価の値上げ等で仕入価格が上昇し続けている。値上げを売り先に転嫁できる状況ではないので、収益は一層悪化傾向にある。,
,,▲,百貨店（店長）,販売量の動き,・前年に比べ、今月の販売は90％強、中でも外商は50％と非常に悪い。,
,,▲,スーパー（経営者）,単価の動き,・高級食材も売れているが、食品に対する購入意識はまだ低単価に向かっている。,
,,▲,スーパー（経営者）,単価の動き,・３か月前と比べ、売上が1.6％減少している。客単価も前年比で３％低下しており、一向に下げ止まる気配がない。,
,,▲,コンビニ（店長）,来客数の動き,・彼岸までは来客数、販売量ともに良かったが、近隣のショッピングセンターが23日にキーテナントを変更してオープンしたため、マイナスの影響を受けている。,
,,▲,その他専門店［ガソリンスタンド］（営業担当）,単価の動き,・最近の原油高で仕切り単価が非常に上昇しているが、思うように販売価格への転嫁はできないので、影響を受けている。,
,,▲,一般レストラン（経営者）,来客数の動き,・郊外大型チェーン店の影響なのか、この３～４か月地元客の来店が減少している。,
,,▲,スナック（経営者）,来客数の動き,・ここ何年も人通りが減り続けており、今月はまた少し厳しい。宴会の予約数は前年と変わらないが、小さい宴会が多く、大規模な会は減少している。更にフリーの客が少なくなっているので、前年より悪くなっている。,
,,▲,タクシー運転手,単価の動き,・利用件数の落ち込みはあまりないが、長距離の客が減少している。会社で利用する客はさほどではないが、一般の客は短距離のみで、長距離利用は非常に少なくなっている。,
,,▲,設計事務所（所長）,競争相手の様子,・全般に受注は依然少ない状況にある。行政の仕事はなく、民間からの発注も極めて少ない。個人住宅の建築についても、意欲はあるが決断に至らない。,
,,▲,住宅販売会社（経営者）,お客様の様子,・今月は賃貸関係、住宅販売とも、ほとんど引き合いがない状況である。,
,,×,一般小売店［衣料］（経営者）,販売量の動き,・運動会のシーズンで運動用品が売れているが、来客数の動きが悪く、販売量が減少し、良い状況ではない。,
,,×,コンビニ（経営者）,来客数の動き,・近隣にライバル店がオープンし、来客数がかなり減少している。,
,,×,衣料品専門店（販売担当）,販売量の動き,・本来夏の暑さはありがたいが、今年は異常に暑く、客の出足が鈍り、購買意欲も湧かなくなっている。台風も多く、買物に出るのを我慢し、あきらめている。,
,,×,タクシー運転手,お客様の様子,・８月の盆以降、タクシー利用が激減している。金、土曜日でも売上は２万円がやっとであり、平日は１万５千円程度、日曜日は１万円以下の状況となっている。,
"企業
動向
関連

(北関東)",,◎,－,－,－,
,,○,一般機械器具製造業（生産管理担当）,受注量や販売量の動き,・秋口に入り四輪駆動車向けの部品が増産となり、24時間フル操業で対応しているが、要求数にこたえきれない状況である。また、他社でこなしきれずにあふれた仕事で、新規客からの引き合いが増加している。,
,,○,精密機械器具製造業（経営者）,取引先の様子,・原料高、外注費の上昇などで利益率は良くないが、受注が多くなっている。,
,,□,食料品製造業（製造担当）,取引先の様子,・スーパーの売上が落ち込んでいると聞いているが、新規取引先の開拓や新製品の開発により、前年以上の水準を確保している。,
,,□,化学工業（総務担当）,受注量や販売量の動き,・半導体関連分野は好調で納期も忙しくなってきている。設備の稼動を上げるために２直体制をとっている。,
,,□,窯業・土石製品製造業（経営者）,受注量や販売量の動き,・受注量は天候に左右されることが多く、難しい面もあるが、総じて前年と変わらない。,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・製造業の加工関係は稼動が高くなっている。他の製造関係は依然として低コストに悩んでおり、企業間格差は一段と進んでいる。,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・特別な仕事が入り、７～８月はとても良かったが、現在は通常に戻っている。取引先の企業間格差が徐々に開いてきており、とても良い２社と変わらない１社、かなり落ちている２社がある。どちらの波に乗れるかによって当社の動きも変わってくる。,
,,□,輸送業（営業担当）,取引先の様子,・ワンシーズン先の輸送依頼がかかる時期であるが、残暑の影響で予定がずれ込んでいる。,
,,□,その他サービス業［情報サービス］（経営者）,受注量や販売量の動き,・相対的に受注量は増加傾向にあるが、同じ業態の取引先でも、企業の収益格差により、前年に比べて情報化投資が増加している先と減少している先が顕著に表れている。,
,,□,その他サービス業［放送］（営業担当）,受注量や販売量の動き,・７～９月は前年同期と比べ、ＣＭの受注件数は６％程度増加しているが、大手企業からの年間契約の落ち込みが響き、売上全体では３％程度の減少となっている。,
,,▲,不動産業（管理担当）,取引先の様子,・取引先の清掃業者からは、テナントが清掃回数を見直し、毎日から一日おきになったり、時間を短くされたりし、仕事量が減少していると聞いている。最近入居したテナントも清掃は自分で行うということで受注できなかったということである。,
,,▲,広告代理店（営業担当）,受注量や販売量の動き,・夏の商戦は猛暑の影響で良いところと悪いところに分かれている。広告出稿量は前年並みであるが、制作物の仕様の簡素化や、チラシロットの縮小による経費圧縮傾向が目立っている。９月の販促は前年同期比で２割ほど落ち込んでいる。,
,,▲,新聞販売店［広告］（総務担当）,受注量や販売量の動き,・チラシ出稿量は前年比95％で、今年に入って最も悪くなっている。スーパー関係は前年並みで推移しているが、衣料関係は８月後半から落ち始めている。９月に入ってからは鉄道の乗客数が減少し、ホテルも前年を割る状況と聞いている。,
,,▲,司法書士,受注量や販売量の動き,・金融機関の担保設定の登記が減少している。これは前向きの融資が減少していることの反映である。,
,,×,建設業（総務担当）,受注量や販売量の動き,・公共工事削減の影響で、売上は前年度の50％で推移している。一般経費の削減に努め、前年度より15％削減しているが、売上の減少により当期は赤字決算となる。,
"雇用
関連

(北関東)",,◎,－,－,－,
,,○,求人情報誌製作会社（経営者）,求人数の動き,・８月以降求人広告が伸び続けている。地方でも広い意味のサービス業だけが重点であったものが、広い意味の製造業も広告を出すようになっている。派遣からの募集だと集まりが悪いので企業が直接広告を出しているようである。２～３年前からみると高水準で伸びてきている。,
,,○,職業安定所（職員）,求人数の動き,・ハローワークに職を求める人が減少しており、新規求人数が増加しているので、やや良くなっている。,
,,○,職業安定所（職員）,求職者数の動き,・有効求職者は、５か月連続して減少している。求人数は、新規、有効求人数とも３か月前に比べ増加している。,
,,○,学校［短期大学］（就職担当）,求人数の動き,・ホテル、アミューズメントなどのサービス業、販売業など、時期的に少ないと思われる求人問い合わせが散見される。,
,,□,人材派遣会社（営業担当）,採用者数の動き,・同じ製造業でも、取扱製品により景況が微妙に違う。例えばＩＴ関連メーカーにおいて、開発プロジェクトが一段落したところは派遣契約をいったん終了しているが、引き続き生産計画が順調に拡大しているメーカーからは追加の派遣要請がある。携帯ショップにおいても、市場が飽和してきたのか販売スタッフを縮小するところがある一方で、引き続き雇用を継続するところも多い。総じて考えると景気は横ばいである。,
,,□,求人情報誌製作会社（経営者）,求人数の動き,・求人の増加はあるものの、正社員はサービス業に多少みられる程度で、特に製造業は人材派遣が多く、全般にパート、アルバイトの募集が多い。,
,,□,職業安定所（職員）,求人数の動き,・依然として派遣、請負で対処する傾向が続いている。求人数は微増傾向にあるが、就職数はあまり伸びていない。,
,,□,学校［大学］（総務担当）,採用者数の動き,・企業の就職担当者が、学生が内定したとあいさつに来る時期であるが、就職希望者の内定率はまだ100％に達していない。,
,,▲,人材派遣会社（経営者）,求人数の動き,・電機、電子、機械関係、自動車関連の生産が伸びてきており、求人数は増えているが、求職者の集まりが悪い。住宅関連は現状の人員、コストで対応しており、厳しい。,
,,×,－,－,－,
,,,,,,
　４．南関東（地域別調査機関：（財）日本経済研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(南関東)",,◎,旅行代理店（従業員）,販売量の動き,・政府の政策の影響もあり、当社取扱の訪日外国人の数が前年を上回っている。,
,,○,スーパー（統括）,来客数の動き,・この２、３か月、来客数は着実に増加している。売上金額は来客数に連動していない面もあるが、客の買物動向をみると、従来に比べて財布のひもがやや緩んできた感がある。,
,,○,衣料品専門店（営業）,単価の動き,・今年は暑さが厳しく、バーゲンセールに入り安くなってからの販売量が増加した。,
,,○,家電量販店（営業統括）,単価の動き,・デジタルＡＶ商品を中心に堅調に推移している。デジタル一眼レフカメラについても、各メーカーのラインナップが充実してきたことにより、販売数が大きく伸びている。反面、パソコンは本体の販売単価が下落し、台数の伸びで売上拡大を確保できなくなっている。,
,,○,家電量販店（営業部長）,販売量の動き,・猛暑、オリンピック特需で大きく盛り上がった夏商戦後も、心配された反動もさほど受けずに、ＡＶ機器を中心に好調に推移している。秋冬の期待の新製品も発売され始めている。,
,,○,その他専門店［眼鏡］（店員）,単価の動き,・来客数、販売量とも前年と変化はないが、客が、商品の機能など品質の良いものを購入する傾向にあり、買上単価の上昇につながっている。,
,,○,旅行代理店（従業員）,販売量の動き,・９月は残暑が続いたが、売場展開は夏から秋へと変化しているため、需要と売場の品ぞろえのミスマッチが発生している。夏物商材をできるだけ長く展開したが、一度でも気温が25度位に下がると、その後気温が再び上がっても夏物商材の需要は鈍るため、前年の実績を確保するのがやっとである。,
,,○,タクシー運転手,お客様の様子,・９月は残暑の影響もあり、衣料品が非常に厳しい。来客数も82％となっている。食品についても、おでんやお鍋などの季節商材を展開しているが、今一つ売れていない。,
,,○,タクシー運転手,競争相手の様子,・週末の来客数が、全ての週において減少傾向にある。,
,,○,通信会社（企画担当）,販売量の動き,・あまり大きな影響はないが、前月大型店が近隣に出店し、目玉商品を低価格で提供しているため､これらの商品については販売量が減少している。,
,,○,通信会社（総務担当）,販売量の動き,・派遣業界では一般的に３､６､９､12月末は入替えの時期にあたるが、６月に比べ、９月は求人が増加している。逆に求職者は減少している。,
,,○,ゴルフ場（支配人）,来客数の動き,・９月前半から一気に秋らしい気候になり、婦人服、紳士服を中心に秋物が好調に売れ出している。その結果、店合計でも前年を大きく上回る売上ペースとなっている。,
,,○,設計事務所（経営者）,お客様の様子,・客単価は相変わらず前年の96％前後の推移である。１品単価の低下よりも１人当たり買上点数の減少のほうが影響が大きい。,
,,○,設計事務所（所長）,それ以外,・今月は前年の残暑ほど厳しくなく、売上は伸び悩んでいる。売上は前年を割り込んでいる。,
,,○,住宅販売会社（従業員）,販売量の動き,・前月に続いて新車の購入目的で来店する客が多いが、他店との競合が激化しているため利益幅は減少している。その一方で、来店当日に即決する客も増えている。,
,,□,商店街（代表者）,単価の動き,・カー用品の競合は今や従来の用品店だけではない。ガソリンスタンドやカーディーラーまでもがより良い環境でのカーメンテナンスに力を入れ始め、参入してきている。競争は全ての面で激化している。,
,,□,商店街（代表者）,来客数の動き,・前月、先々月と比べて予約件数が減少している。10、11月の行楽シーズンを控えて、申込が少ないのは厳しい状況である。,
,,□,一般小売店［衣料・雑貨］（経営者）,お客様の様子,・今月上旬は台風、地震があり、中下旬は気温が相変わらず高かった影響もあり、客の購買意欲は低下している。ビール、酒ともに中途半端な売行きであり、売上は前年比で８％ほど減少している。,
,,□,一般小売店［鞄・袋物］（従業員）,単価の動き,・９月は暑さが続き、秋物のスタートが悪く厳しい状況だったので、セールを開始したところ、来客数は３倍に伸びたが、単価は２割ほど低下している。,
,,□,一般小売店［茶］（営業担当）,お客様の様子,・涼しさも増してきたが、秋物商材への客の反応が悪く、定番商品の購入が目立っている。低価格であれば売れるわけではなく、価格と品質のバランスが吟味されている。,
,,□,百貨店（売場主任）,お客様の様子,・液晶テレビ等限られた商品の売上は良いが、衣料品等はいまだに好調ではない。商品に好不調があり、全体として変わらない。,
,,□,百貨店（総務担当）,販売量の動き,・眼鏡店の新規入店で、来客数、売上とも２倍近く増加して好調な一面もあるが、全般的には秋冬物衣料が伸びず、前年の実績を割り込んでいる状態が続いている。,
,,□,百貨店（広報担当）,販売量の動き,・前半は気温がようやく落ち着いてきたこともあり、秋物を求める客でにぎわったが、後半は急激に失速している。都心の店舗では、前半の貯金が大きく月合計で前年をクリアしているが、郊外店は軒並み前年割れである。高付加価値商品、ファッションの先端を扱う都心の大型店と、実需対応が中心の郊外店とで明暗が分かれている。,
,,□,百貨店（営業企画担当）,販売量の動き,・残暑が厳しかったこともあり、婦人、紳士衣料品の販売量がかなり落ちている。服飾雑貨や食料品は前年並みであるが、衣料品のマイナス幅が大きく、全体では前年比マイナスである。,
,,□,百貨店（営業企画担当）,販売量の動き,・売上は４月以降、前年比97％台で推移しており、９月も変わっていない。秋物の需要喚起のため、大きなイベントを集中させ、チラシの部数も通常の150％に増やしたことや、気温が低下したことにより、中旬には前年をクリアしたものの、月全体では変化がみられない。,
,,□,スーパー（経営者）,単価の動き,・相変わらず１点単価が低い状態が続いている。来客数、販売量はあまり変化していないが、売上は良くならない。３か月前と比べても、それほど変わらない状態が続いている。,
,,□,スーパー（店長）,販売量の動き,・９月は残暑が続いたが、売場展開は夏から秋へと変化しているため、需要と売場の品ぞろえのミスマッチが発生している。夏物商材をできるだけ長く展開したが、一度でも気温が25度位に下がると、その後気温が再び上がっても夏物商材の需要は鈍るため、前年の実績を確保するのがやっとである。,
,,□,スーパー（店長）,販売量の動き,・９月は残暑の影響もあり、衣料品が非常に厳しい。来客数も82％となっている。食品についても、おでんやお鍋などの季節商材を展開しているが、今一つ売れていない。,
,,□,スーパー（店長）,販売量の動き,"・残暑の影響により、秋冬商品の動きが鈍い。
・競合店の価格政策により、特売の売価が下がっている。売価によって販売量が大きく左右されている。",
,,□,衣料品専門店（経営者）,来客数の動き,・夏の暑さの延長と、後半の天候不順からか、なかなか来客数が増加しない。結婚式用のフォーマル系の商品など、目的を持った購買については、かなり高額なものを買う客も目立つ。,
,,□,家電量販店（店長）,来客数の動き,・商品の２極化が進み、購買の格差が出てきているが、平均すると変わらない。,
,,□,乗用車販売店（渉外担当）,販売量の動き,・９月の新車販売台数は予算達成率が90.4％の見込みで、前年同月比0.4％減となっている。中古車の売上台数は、予算達成率が97.3％の見込みで、前年同月比で2.9％減とほぼ横ばいで推移している。,
,,□,住関連専門店（統括）,販売量の動き,・来客数はある程度増加しているが、販売量はそれほど伸びていない。,
,,□,その他専門店［ドラッグストア］（経営者）,販売量の動き,・３か月前に比べて９月は良い成績になっているが、これはテレビで放映され、当社でも１週間で約1000個近く売れたサプリメントの拡売による一過性の数字であると考えている。,
,,□,その他専門店［キャラクターグッズ］（従業員）,来客数の動き,・週末の来客数が、全ての週において減少傾向にある。,
,,□,一般レストラン（経営者）,販売量の動き,・例年９月は売上が落ち込む時期であるが、今年は前年比でも10％以上売上が減少している。厳しい状況が変わっていない。,
,,□,一般レストラン（店長）,単価の動き,・日本酒やビールではなく、比較的安く飲める焼酎に人気が集中しているため、厳しい状況である。焼酎の中でも芋焼酎がブームであるにもかかわらず、安い麦焼酎に注文が殺到する状況が続いている。,
,,□,都市型ホテル（スタッフ）,単価の動き,・予約件数は前年とほぼ同数だが、客単価が低下しているため、売上は伸びていない。,
,,□,都市型ホテル（スタッフ）,来客数の動き,・一般企業から、研修会や飲食を伴わない会議だけの問い合わせが増加し、夜の接待利用の企業の客は、競合店の進出や経費の見直しで減少している。,
,,□,旅行代理店（従業員）,お客様の様子,・国内旅行は、販売量は例年並みかそれ以上になる傾向にあるが、単価が依然として上昇していない。海外旅行に関しては、個人の需要は増加しているが、団体の数が同時多発テロ以前の水準には戻っていない。年末年始の申込も動きつつあるが、絶対量がまだ不足している感がある。,
,,□,タクシー運転手,来客数の動き,・持ち場としている駅では、迎えの自家用車で一杯で、タクシーの利用客は減少する一方である。,
,,□,タクシー運転手,単価の動き,・８月に比べれば９月は良くなっているが、遠方の客は終電があるうちに帰り、企業のタクシー券が少ないので、まだ厳しい状況は続いている。,
,,□,通信会社（経営者）,販売量の動き,・消費を喚起する魅力的な商品がない。液晶テレビにしろプラズマテレビにしろ、番組が今いちである。,
,,□,通信会社（営業担当）,お客様の様子,・ケーブルテレビの加入者獲得件数は、オリンピックの反動等による目立った変化が相対的に少ないが、デジタル化への関心も特に加入に結び付いていない。,
,,□,通信会社（営業担当）,単価の動き,・端末の価格を引き下げても、高スペック機種の価格を引き下げても、販売構成比が変わるだけで、全体の販売量を押し上げるまでには至っていない。,
,,□,ゴルフ練習場（従業員）,お客様の様子,・９月はゴルフシーズンに入るが、３か月前と客の様子が同じであり、来客数は増加していない。しかし､競合の少ない地域の施設では､来客数が増え､売上も良くなっていると聞いている。,
,,□,設計事務所（所長）,お客様の様子,・仕事の流れが変わっている。一般住宅生産は大手のハウスメーカーがほとんどを実施しているので、町の工務店までは仕事が及んでいない。景気が良くなっているという実感がない。,
,,□,住宅販売会社（経営者）,販売量の動き,・最近、請負にしても分譲にしても、受注量、販売量ともに減少している。価格もかなり低下しており、利幅はほとんどない。厳しい状態が続いている。,
,,▲,商店街（代表者）,お客様の様子,・９月は売出しを２回行ったが、客は購買を決定する前に他店との比較をしており、価格面で他店の方が少しでも条件が良いとなると、当店での予約をキャンセルしてまで他店に動くといったドライな買物が目立っている。,
,,▲,一般小売店［ＣＤ］（営業担当）,お客様の様子,・土日の来客数は回復していく傾向にあるが、平日は閑散としており、客の購買意欲も低迷している。,
,,▲,百貨店（業務担当）,来客数の動き,・客の購買単価はほとんど同じであるが、来客数が減少しており、売上が減少している。,
,,▲,スーパー（店長）,販売量の動き,・あまり大きな影響はないが、前月大型店が近隣に出店し、目玉商品を低価格で提供しているため､これらの商品については販売量が減少している。,
,,▲,スーパー（店長）,来客数の動き,・９月の来客数が94％と前年を大きく下回っている。７、８月とも98％前後で決して良くはなかったが、９月は特に大きな要因もないまま、来客数が大幅減となっている。,
,,▲,コンビニ（経営者）,来客数の動き,・客の来店頻度は増加しているが、絶対数は減少している。新規の来店客の増加がみられない。,
,,▲,コンビニ（経営者）,単価の動き,・客単価が約10円低下し、来客数は１日約100名減少している。,
,,▲,衣料品専門店（経営者）,お客様の様子,・９月の気温が思ったより高かったため、例年よりも秋物の動きが悪く、秋物衣料は全滅である。,
,,▲,乗用車販売店（営業担当）,来客数の動き,・９月は決算期だが､前年に比べ、来客数がかなり落ちている。,
,,▲,タクシー（団体役員）,来客数の動き,・相変わらず利用客の数が減っており、同時に燃料の高騰が響いてきている。,
,,▲,通信会社（営業担当）,競争相手の様子,・競争相手が値下げを行ったことで、業界標準金額が一層低下している。,
,,▲,その他レジャー施設［アミューズメント］（職員）,販売量の動き,・家庭用、業務用各ゲームとも、前年同月比が３か月前より悪化している。家庭用については、今年に入りずっと前年を下回ったままであり、新しいハードの購入のための買い控えもあって、市場環境は厳しい。これまで好調だった業務用は、８月の猛暑やオリンピック以降、現在も低調なまま推移している。顧客の絶対数が減少している。,
,,▲,その他レジャー施設（経営企画担当）,来客数の動き,・イベントへの来場者が減少傾向にある。既にチケットを購入しているにもかかわらず、来場しない例も多い。,
,,▲,設計事務所（経営者）,販売量の動き,・民間業務は相変わらず少なく、活発さがみられない。当事務所は行政の仕事をメインにしているが、行政の仕事は物件が年々少なくなっており、景気回復が全く感じられない。,
,,×,スーパー（店長）,単価の動き,・客の買上点数が減少し、単価も低下している。９月は改装後ということで期待していたが、客の買上点数、単価が伸び悩み、当初の予定を大幅に下回っている。,
,,×,衣料品専門店（営業担当）,お客様の様子,・残暑が厳しいが、夏物が売れるわけではなく、秋物を買うにはまだ早い。２、３日涼しくなっても、すぐに気温が上昇し、秋に向かう気持ちがなくなってしまう。,
,,×,その他小売［生鮮魚介卸売］（営業）,お客様の様子,・今までケース単位で購入していた客が、ケースの方が値段が安くても、バラで必要量しか仕入れなくなっている。,
,,×,美容室（経営者）,来客数の動き,・客がディスカウントショップに流れている。,
,,×,住宅販売会社（経営者）,販売量の動き,・相変わらず新築住宅が売れない。家探しに出ている客は多いが、結論を出すのが遅く、契約に至らない。価格を下げると見学には来るが、購入の結論を出さない。,
"企業
動向
関連

(南関東)",,◎,電気機械器具製造業（経営者）,受注量や販売量の動き,・売上は６月比144％となり、９月決算期による前倒しもあって、良くなっている。,
,,○,出版・印刷・同関連産業（経営者）,競争相手の様子,・当社はまだまだ暇だが、仲間の仕事がかなり忙しくなってきて、仕事を手伝ってほしいという依頼が少しずつ増加している。,
,,○,一般機械器具製造業（経営者）,受注価格や販売価格の動き,・客の生産量が追いつかなくなり、当社にラインを移管するという話も出ている。,
,,○,建設業（営業担当）,受注価格や販売価格の動き,・物資の高騰に伴い見積価格が上がってきているが、以前だと客が納得せず価格交渉に苦労したが、今は説明すれば納得する顧客が増えている。,
,,○,建設業（経理担当）,受注価格や販売価格の動き,・今までは価格競争での仕事の取り合いであったが、ここにきて施工側の設定価格の理由を説明すると、その内容を判断して、高い見積でも、安いところを断ってまでも発注してくれる客が出始めている。,
,,○,金融業（渉外担当）,取引先の様子,・取引先の決算が良くなっている。コストを見直し、財務リストラに取り組んだ結果、売上は減収傾向にあるものの、収益は明らかに改善してきている。,
,,○,不動産業（総務担当）,取引先の様子,・オフィス入居希望テナントの引き合いが引き続き活発であり、空室率が大幅に改善されている。賃料相場も下げ止まった感がある。,
,,□,金属製品製造業（経営者）,取引先の様子,・ＤＶＤ関係の仕事が一段落したが、代わって液晶関係の設備部品の仕事が多くなっており、仕事量は変わらない。,
,,□,金属製品製造業（総務担当）,受注価格や販売価格の動き,・材料価格が高騰しているが、製品に転嫁できていない。,
,,□,輸送業（経営者）,競争相手の様子,・このところ原油価格が急騰しており、売上に対する燃料比率が非常に高くなり、経営が苦しい。,
,,□,金融業（得意先担当）,取引先の様子,・各企業では設備投資が出て、かなり受注が増加しているが、小売業が落ち込んでおり、全体ではまだ景気が上向いているとはいえない。,
,,□,不動産業（経営者）,競争相手の様子,・地価の下げ止まりが報道されているが、当地域でも若干下げ止まり傾向が表れている。,
,,□,経営コンサルタント,取引先の様子,・客単価が引き続き低下傾向にあり、景気が良くない企業もある一方、一部企業では好調で積極的に将来に向けた戦略を打ち出している。,
,,□,その他サービス業［情報サービス］（従業員）,受注量や販売量の動き,・情報通信分野においてはＩＴ化の波が一段落した感があり、まとまった発注が減少している。年度当初予定していた予算が削られ、発注予定が遅れている状況である。,
,,▲,食料品製造業（経営者）,受注価格や販売価格の動き,・企業向けの注文が増えない。,
,,▲,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・会社の新規設立件数が減少している。,
,,▲,プラスチック製品製造業（経営者）,受注価格や販売価格の動き,・今年何度目かの原材料の値上げがあり､今後も上がりそうであるが､販売価格の値上げはないため､厳しい状況である。,
,,▲,電気機械器具製造業（経営者）,受注価格や販売価格の動き,・業者間の受注競争が激しく、受注価格は低下する一方だが、金属や石油製品等の原材料の値段は上昇しており、製造原価が上昇し始めている。原料の値上げ圧力は社内努力だけでは吸収できず、粗利益に影響を与えている。,
,,▲,電気機械器具製造業（経営者）,取引先の様子,・数か月前までは活発に製品が動いていたが、ここにきて、契約数が落ち込んでいる。,
,,▲,輸送業（財務・経理担当）,取引先の様子,・売上が前年比90％前後で推移している。得意先等を見ても売上増が見込めない。,
,,×,＊,＊,＊,
"雇用
関連

(南関東)",,◎,人材派遣会社（営業担当）,求人数の動き,・派遣会社の受注数が増加しており、派遣スタッフの供給が追いつかなくなる供給不足が発生している。2004年度に入ってからの傾向であるが、最近は一層この傾向が顕著になってきている。,
,,○,人材派遣会社（社員）,雇用形態の様子,・派遣の受注も多いが、紹介予定派遣やいわゆる企業直接雇用の形態が増加している。,
,,○,人材派遣会社（支店長）,求人数の動き,・派遣業界では一般的に３､６､９､12月末は入替えの時期にあたるが、６月に比べ、９月は求人が増加している。逆に求職者は減少している。,
,,○,職業安定所（所長）,求人数の動き,・８月の新規求人は、前年同期比14.2％の増加、新規学卒求人も40.6％増加するなど、景気の回復が感じられる。,
,,○,職業安定所（職員）,求職者数の動き,・新規求職申込件数が、前年同月比8.4％減少している。,
,,○,学校［専修学校］（就職担当）,求人数の動き,・９月の求人数が、前年同月比で20％ほど増加している。,
,,□,求人情報誌製作会社（編集者）,採用者数の動き,・中途募集の新聞広告、インターネットによる広告出稿量はそれほど変化はない。業界によってまだら感があり、底固いとはいえない。,
,,□,職業安定所（職員）,求人数の動き,・産業別にみると、製造業を中心として新規求人数は堅調に推移しているものの、全産業計では、前年同月比、過去３か月の各月との比較でマイナスとなっている。個人消費の動向を反映する運輸、流通業からの新規求人が減少基調で推移している。,
,,□,職業安定所（職員）,求職者数の動き,・新規求職者数が連続して減少している。自己都合退職者が増加してきたので、大きな雇用調整は落ち着いたようである。ただし、新規求人数も減少しており、求人倍率に変化はみられない。,
,,▲,＊,＊,＊,
,,×,新聞社［求人広告］（担当者）,求人数の動き,・通常、９月は募集が相当活発に出る月だが、今年は仕事が取れない。求人広告を無料で出す業者や、３週連続で半額や３掛けにする業者などがいて、客がそのような業者に流れている。,
,,,,,,
　５．東海（地域別調査機関：（株）ＵＦＪ総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東海)",,◎,商店街（代表者）,販売量の動き,・各直営店で売上、来客数の前年比が伸びてきている。,
,,○,一般小売店［結納品］（経営者）,単価の動き,・数か月前と比べ、単価の高い商品が動き出している。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・客の必要なものしか買わない傾向はなくなっている。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・今月は台風に加え地震まで起きたが、観光客数はほぼ前年並みであり悪条件下では良いほうである。客当たりの土産物購入数にもやや回復の兆しがある。,
,,○,一般小売店［書店］（経営者）,販売量の動き,・競合店との競争は落ち着いてきている。状況は徐々に良くなっている。,
,,○,百貨店（売場主任）,お客様の様子,・平日昼間の来客数は少ないが、18時以降になると会社帰りの客が増加している。土日はスーツを新調した客がほとんど確実に靴も見に来るため、靴の購入客も増加している。,
,,○,百貨店（企画担当）,販売量の動き,・９月前半から一気に秋らしい気候になり、婦人服、紳士服を中心に秋物が好調に売れ出している。その結果、店合計でも前年を大きく上回る売上ペースとなっている。,
,,○,コンビニ（店長）,販売量の動き,・暑さが続いており、飲料水が伸びている。,
,,○,家電量販店（店員）,販売量の動き,・残暑の影響と大口受注の発生で販売量は好調である。,
,,○,乗用車販売店（従業員）,販売量の動き,・単価は相変わらずデフレ傾向でさほど上昇していないが、販売量には少し動きが出てきている。競走相手も同様な動きが出てきている様子である。,
,,○,スナック（経営者）,来客数の動き,・今年の売上はずっと前年比でマイナスであったが、今月は人事異動に伴う送別会の団体予約が思ったより取れているため、売上は初めて前年と並んでいる。,
,,○,その他飲食［仕出し］（経営者）,お客様の様子,・地域全体が愛知万博などのビッグプロジェクトに向けて活気づいている。,
,,○,都市型ホテル（スタッフ）,来客数の動き,・宿泊、宴会、婚礼の問い合わせがあり、来客数は増えている。,
,,○,都市型ホテル（スタッフ）,来客数の動き,・浜名湖花博の終了間近の駆け込み需要が多い。,
,,○,住宅販売会社（従業員）,販売量の動き,・最近各地で台風や地震といった自然災害が多発しているため、高耐震アパートへの関心が高く売上が向上している。,
,,□,商店街（代表者）,単価の動き,・従来商品の売上は減少しているが、愛知万博関連商品の売上は増えており、全体の販売量は変わっていない。,
,,□,商店街（代表者）,お客様の様子,・販売単価は上昇しているが、販売量がついてきていない。客は、続々と発売される新製品に関心はあるが、使いこなせないことを懸念している様子である。,
,,□,商店街（代表者）,お客様の様子,・自転車販売をしているが、スーパーでは輸入品が多く、安売りが幅を利かせている。当方では輸入品を仕入れるにもルートがわからず、困っている。,
,,□,一般小売店［生花］（経営者）,お客様の様子,・客は安い商品でもなかなか決めることができず、内容を細かく聞く。衝動買いもしない。,
