,,▲,一般小売店［鮮魚］（従業員）,,・ゴールデンウィークの反動か、消費が伸び悩んでいる。,
,,▲,百貨店（営業担当）,,・天候要因に大きく左右されて客の動きが悪くなり、今まで上昇していた客単価も低下している。,
,,▲,百貨店（営業担当）,,・ゴールデンウィーク以降の商品の動きが悪い。特にヤングはメンズ、レディースともに悪い。,
,,▲,スーパー（店長）,,・ゴールデンウィーク、母の日とイベントが続いたが、物が動かず、購買意欲がみられない。,
,,▲,衣料品専門店（総務担当）,,・メーカーの新商品やブランド物の動きが鈍く、予定の売上にはほど遠い。,
,,▲,一般レストラン（スタッフ）,,・ゴールデンウィークは、児童公園や遊園地でコンビニの弁当を食べる人が多かったようである。,
,,▲,タクシー運転手,,・中洲で乗る客も減り、電話予約の客も回数が減っている。,
,,×,商店街（代表者）,,・高額品の需要が全くみられず、量販店の安売り競争が目立っている。,
,,×,一般レストラン（スタッフ）,,・ゴールデンウィーク明けから客足が減り、売上も減少している。,
"企業
動向
関連

(九州)",,◎,電気機械器具製造業（経営者）,,・半導体関連の金型及び装置そのものの受注が増加しており、景気も良くなっている。,
,,◎,精密機械器具製造業（経営者）,,・生産が追いつかないほど受注が多く、特にＩＣ関連の部品加工が非常に多くなっている。,
,,○,広告代理店（従業員）,,・折込チラシも増加しており、景気は良くなってきている。,
,,○,輸送業［陸上貨物］（従業員）,,・ここ３か月は段階的に売上、配達本数が増加している。,
,,○,経営コンサルタント,,・今月に入り、仕事の引き合いが増えてきている。,
,,□,輸送業［倉庫］（従業員）,,・商品の荷動きが良く取扱トン数も増えているが、単価が低く抑えられており、余り変わらない。,
,,▲,一般機械器具製造業（経営者）,,・受注が非常に減少している。業種別で勝ち負けが出てきており、取引先がどういう業種かで景気が左右される。,
,,×,－,－,,
"雇用
関連

(九州)",,◎,－,－,,
,,○,新聞社［求人広告］（担当者）,,・新聞広告は悪かったが、地元の小さな求人広告は増えている。,
,,□,人材派遣会社（社員）,,・雇用が増加している様子はなく、余り変わっていない。,
,,□,求人情報誌製作会社（総務担当）,,・中途採用の求人紙の冊数が増加してきたが、新卒に関しては不透明である。,
,,▲,－,－,,
,,×,－,－,,
