,,□,その他サービス［自動車整備業］（経営者）,来客数の動き,・リサイクル料金１万円前後という車検外支出があるにもかかわらず、入庫増となっている。年度末ということもあるが、前年度を８％上回っている。,
,,□,住宅販売会社（経営者）,来客数の動き,・公示価格の下落が発表され、春になり多少動きが出てきた土地売買にブレーキがかかってしまう。昨今は公示価格の推移が市場にマイナスイメージを与えている。,
,,□,住宅販売会社（経営者）,お客様の様子,・不動産の売買にせよ賃貸にせよ、客が非常に慎重で結論がなかなか出ない上に、最後は値引き交渉、キャンセルということで、デフレ現象に歯止めがかかっていない。,
,,▲,商店街（代表者）,販売量の動き,・春休みの観光客、年度末の歓送迎会利用客が少ない。,
,,▲,一般小売店［青果］（店長）,来客数の動き,・青果市場でもお彼岸で売れた八百屋はまずなく、客の多くは大手スーパーに行っている状況である。,
,,▲,百貨店（店長）,販売量の動き,・ここ数か月は前年の売上をクリアできていたが、今月に入り売上不振となり、前年比90％前半となっている。,
,,▲,スーパー（経営者）,競争相手の様子,・大型競合店の出店により、ますます競争が激化してきている。,
,,▲,スナック（経営者）,来客数の動き,・２月からかなり落ち込んでおり、歓送迎会の予約も低調である。,
,,▲,都市型ホテル（スタッフ）,単価の動き,・宴会、歓送迎会とも、料理に飲み放題もつけて５千円というケースがかなり多く、客単価が問題となっている。,
,,▲,タクシー運転手,来客数の動き,・この辺りのタクシーは電話受けがほとんどであるが、電話の鳴る回数が非常に少ない。,
,,▲,その他サービス［自動車整備業］（経営者）,お客様の様子,・今まで現金払いをしていた客が、分割やクレジットにしたりと、集金の形態が変わってきている。,
,,▲,設計事務所（所長）,競争相手の様子,・年度替わりで新規の仕事が確保できていないという声が多い。３か月前と比べて良くなっているとはとてもいえない。,
,,▲,住宅販売会社（経営者）,お客様の様子,・来客数ももちろんであるが、全体的なお金の動きが鈍い。,
,,×,コンビニ（店長）,競争相手の様子,・大型店の売出しがまめになってきている。商店街内と郊外にあるショッピングセンターの間にはさまれ、売出しのチラシ攻勢を受けて売上が非常に下がっている。,
,,×,スナック（経営者）,来客数の動き,・例年であれば20名以上の歓送迎会予約が少なくとも８組は入るところだが、今年はたったの３組である。,
,,×,観光型ホテル（経営者）,来客数の動き,・愛知万博の影響で予約が伸びていない。,
"企業
動向
関連

(北関東)",,◎,－,－,－,
,,○,一般機械器具製造業（生産管理担当）,受注量や販売量の動き,・受注、売上とも好調が続いている。新規引き合いも多数きているが、現状の仕事負荷が重く、受けきれない状況である。,
,,○,不動産業（管理担当）,受注量や販売量の動き,・空室にテナントの入居が決まり、引越も済んで本格的に稼動を始めたので、賃貸収入が増えている。,
,,○,その他サービス業［情報サービス］（経営者）,受注量や販売量の動き,・受注単価が据え置かれ、収益は依然として厳しい状況にあるが、受注量、販売量は増加している。,
,,□,食料品製造業（営業統括）,取引先の様子,・各社ともワイン講習会、工場見学等で様々な工夫を凝らして努力しているが、依然苦戦している。,
,,□,化学工業（総務担当）,受注量や販売量の動き,・鉄骨、鉄板などの加工の仕事が全然増えず、ガスの売上が悪い。,
,,□,金属製品製造業（経営者）,それ以外,・一次下請の場合は、化学や複合化製品等の競争力や技術によって景況感には相当格差があるが、当社の場合はやや良いままで変わらない。,
,,□,精密機械器具製造業（経営者）,受注価格や販売価格の動き,・短納期でしかも単価が安く、苦慮している。,
,,□,輸送用機械器具製造業（経営者）,受注価格や販売価格の動き,・今のところ景気は悪くない。販売価格、受注価格、取引先の様子もほとんど変わらない。,
,,□,輸送業（営業担当）,取引先の様子,・輸送受注先を増やしているが、各取引先の出荷量の落ち込みもあり、前年の数字をこなすのがやっとである。,
,,□,金融業（経営企画担当）,取引先の様子,・製造業については受注状況など全体的に横ばい状態である。プラスチック加工、鉄鋼関係は、原材料の値上がりによる利幅の縮小で収益が苦しくなっていると聞いている。,
,,□,広告代理店（営業担当）,取引先の様子,・新年度の広告予算に大幅な増加はみられない。つくばエクスプレスの開業や、大型ショッピングセンターオープンという目玉はあるが、広告宣伝費全体でみると大きな動きはない。,
,,□,新聞販売店［広告］（総務担当）,取引先の様子,・チラシ出稿量はほぼ前年並みの102％で、特に良い業種、悪い業種も見当たらない。市内百貨店では、店内改装をしたものの客足は伸びず、売上は例年をやや下回ると聞いている。衣料問屋の話でも、出荷量は例年並みであるが、小売店の売上は鈍く、実際の売行きが伴っているのか疑問とのことである。全体的に様子見状態である。,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・試作等の引き合いは出てきているが、量産は相変わらず落ち込んだ状態である。,
,,▲,輸送用機械器具製造業（総務担当）,受注量や販売量の動き,・11月以降、月日を追うごとに受注量が悪くなっている。今月は前年比マイナス13％であり、下降局面に入ってきたと感じている。,
,,▲,その他製造業［宝石・貴金属］（経営者）,受注量や販売量の動き,・３月上旬の展示会は来場数が大幅に減少し、売上の落ち込みも大きかった。その後来場しなかった取引先を回っているが、売上不振で展示会に行っても買えないといった声が多い。,
,,▲,その他サービス業［放送］（営業担当）,受注量や販売量の動き,・自動車、電機等の製造業からのコマーシャル受注は変わらないが、郊外に大型ショッピングセンターが開店した影響もあり、既存の大型店、商店街からのイベント受注が大幅に落ち込んでいる。官公庁、製造業及び地域からのイベントの値引き要求が厳しくなっている。,
,,×,電気機械器具製造業（経営者）,受注量や販売量の動き,・例年は年度末の駆け込み生産が大量に入るが、今年は全くそういうことがない。２月までは忙しかったが、３月はとても暇で、４月も３月並みかそれ以下という状況である。各メーカーが在庫調整を始めたような感じで、在庫がはけるまで生産をしないということで、かなり落ち込むのではないかと懸念している。,
,,×,電気機械器具製造業（経営者）,受注量や販売量の動き,・取引先でパチンコ関係の仕事の受注がストップしている。,
"雇用
関連

(北関東)",,◎,－,－,－,
,,○,人材派遣会社（営業担当）,求人数の動き,・取扱製品により、同じＩＴ関連メーカーでも冷え込んでいた派遣要請が上向いたところもある一方、契約終了も目立っている。年度末の契約更改時期であるが、継続物件が多い。登録者数は、正社員志向が強いことや就業率が高まっている背景もあり、前年同時期に比べ、約半数となっている。全体的にみると、このところの一服感からやや上向きに転じた感がある。,
,,○,求人情報誌製作会社（経営者）,求人数の動き,・各地区ともに求人数が過去最高の動きで、求人募集の出稿が増えてきている。,
,,□,求人情報誌製作会社（経営者）,採用者数の動き,・今回新入社員の採用をしたが、募集内容状況や求職者の動きは前年とあまり変わっていない。,
,,□,職業安定所（職員）,求人数の動き,・学卒求人数、内定率は前年より伸びているものの、一般新規求人のうち製造業が減少し、就職数も伸び悩んでいる。,
,,□,職業安定所（職員）,求職者数の動き,・就職者数が１割ほど増加したが、新規求職者数も１割強増加している。年度末にかけて企業整備に関する相談が数件きている。,
,,□,民間職業紹介機関（経営者）,求人数の動き,・求人数に大きな変化はみられないが、正社員からパート、アルバイト、派遣、契約、請負といった就業形態にシフトする傾向が顕著になってきている。,
,,□,学校［短期大学］（就職担当）,求人数の動き,・この３月卒業予定者に対する求人は、結婚、出産、夫の転勤等による退職者の補充で、事務職を主に例年同様、数件の問い合わせがきている。,
,,□,学校［大学］（総務担当）,採用者数の動き,・全国的な企業内定率は良くないと報道されているが、本校の内定率は学部が94％、大学院が93％で、就職活動を継続している学生もいるが、わずか数人である。,
,,▲,人材派遣会社（経営者）,求職者数の動き,・今月はかなり生産の追い込みで伸びているところだが、住宅関連等は原油製品の高騰などからかなり影響が出てきている。電機電子関連も一通り落ち着き、解雇というところが多くある。販売面では春物に向けた小売関係に期待をしているところだが、まだ動きはみられない。,
,,▲,求人情報誌製作会社（経営者）,周辺企業の様子,・相変わらずサービス関連のパート、アルバイトの募集は多いものの、依然として正社員の採用は少ない。また、製造業への人材派遣募集の広告は目立っている。,
,,×,＊,＊,＊,
,,,,,,
　４．南関東（地域別調査機関：（財）日本経済研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(南関東)",,◎,＊,＊,＊,
,,○,一般小売店［食料雑貨］（経営者）,来客数の動き,・消費者の商品選択の二極化が進んでおり、ニーズに合った商品展開ができれば、売上は伸びている。,
,,○,百貨店（総務担当）,販売量の動き,・カメラ関係などの生活用品雑貨関係が、前年比140％伸びている。,
,,○,家電量販店（店員）,販売量の動き,・３月は連休もあり、販売量が増加している。エアコン、テレビ、パソコン等がよく売れている。,
,,○,乗用車販売店（営業担当）,販売量の動き,・来客数の割には、販売量を確保できている。,
,,○,その他専門店［ドラッグストア］（経営者）,販売量の動き,"・花粉の飛散量が多く、花粉関連商材が例年の３倍売れている。３月に入り、風邪やインフルエンザも流行し、風邪関連商品も販売個数が増加している。
・健康食品は、テレビ番組での紹介などマスコミの影響で需要が高まり、この半年間、プラスで推移している。",
,,○,一般レストラン（経営者）,来客数の動き,・来客数が、若干だが増加傾向にある。,
,,○,都市型ホテル（スタッフ）,販売量の動き,・突発的に発生する歓送迎会で、宴会の売上が伸びている。,
,,○,都市型ホテル（スタッフ）,お客様の様子,・いままで宴会や得意先との会食会を中止していた会社や、新規の会社からの問い合わせが入り始めている。一方で、宴会や接待を中止、縮小する企業もあり、まだら模様であるが、この１か月は新規の会社からの問い合わせが目につく。ただし、婚礼は相変わらず受注件数の減少が続き、会社全体の売上は前年比マイナスである。,
,,○,旅行代理店（従業員）,お客様の様子,・開幕した愛知万博への消費者の意識が高まっている。単価が非常に高いにもかかわらず、万博に行こうとする客が増えている。,
,,○,旅行代理店（従業員）,販売量の動き,・２月に引き続き、団体旅行の稼動が良い。特に、九州地区は昨年の実績を上回る数字が残りそうである。,・２月に引き続き、団体旅行の稼動が良い。特に、九州地区は前年の実績を上回る数字が残りそうである。
,,○,タクシー運転手,競争相手の様子,・高速道路の入路ゲートに、23時頃から午前１時ぐらいまでタクシーが延々と並んでいる。,
,,○,タクシー運転手,お客様の様子,・３月は季節的に忙しいが、今年は前年に比べても忙しい。客がタクシー待ちをする状況も出ている。,
,,○,通信会社（企画担当）,販売量の動き,・デジタル家電の値下がりとも関係して、３月の受注は順調である。,
,,○,通信会社（営業担当）,お客様の様子,・新築マンション等の内覧説明会では、テレビやインターネットへの加入に対する反応が以前より良くなっている。,
,,○,ゴルフ練習場（従業員）,それ以外,・近隣に大型ショッピングセンターが完成しつつあり、それに伴い、人が増加している。練習場にも客が流れてきており、にぎわっている。,
,,○,その他レジャー施設［アミューズメント］（職員）,販売量の動き,・アミューズメント施設については、３月の販売量が前年比で良くなっている。前年が悪かったこともあるが、新しい機器の導入効果が表れた結果である。家庭用については、新製品の販売が目白押しであり、活況を呈している。,
,,○,住宅販売会社（従業員）,販売量の動き,・不動産流通関係は、相変わらず土地の流通が鈍く、低迷しているが、新築は３か月前、前年同月比で受注棟数、金額ともに増加している。,
,,○,住宅販売会社（従業員）,販売量の動き,・３か月前は受注が２、３件しかなかったが、３月は５、６件を見込める。,
,,□,商店街（代表者）,来客数の動き,・商店会でスタンプラリー日帰りバスツアーの売出しを実施した。昨年は２日くらいで満員になったが、今年は１週間でやっと満員になった。客の購買意欲が希薄になっている。,・商店会でスタンプラリー日帰りバスツアーの売出しを実施した。前年は２日くらいで満員になったが、今年は１週間でやっと満員になった。客の購買意欲が希薄になっている。
,,□,一般小売店［衣料・雑貨］（経営者）,お客様の様子,・３月は寒さが続いたため、冬物の薄物は売り切ったが、春物は値ごろ品しか動かず、苦戦している。全体の売上は昨年の水準を何とか確保している。旅行シーズンに入り、ジャケット類の動きは良い。,・３月は寒さが続いたため、冬物の薄物は売り切ったが、春物は値ごろ品しか動かず、苦戦している。全体の売上は前年の水準を何とか確保している。旅行シーズンに入り、ジャケット類の動きは良い。
,,□,一般小売店［文具］（販売企画担当）,来客数の動き,・来客数に変化はない。単価は良くないが、大きな物が売れているため、何とか通常を維持している。,
,,□,百貨店（売場主任）,販売量の動き,・春の新作の動きは相応だが、リビング関連で大きなシェアを占めているギフト売上が低迷している。この時期に需要の多い入学、就職等の内祝いも減少している。,
,,□,百貨店（広報担当）,お客様の様子,・低温が続き、春物の動きが鈍く、特に婦人服は苦戦している。３月は年間に占める売上が大きく、定価で販売できる月であるため、３月の売上減は収益減につながる。,
,,□,百貨店（広報担当）,販売量の動き,"・３月は月初の降雪や低温で、春物が低調な出足であったが、気温の上昇に伴い、婦人紳士衣料が活発に動いている。
・都心の店舗は前年比で高い伸びを示しているが、郊外店は序盤の負けを取り戻せず、苦戦を強いられ、前年割れしている。限定性、希少性やファッション性などで高い付加価値のある商品は好調だが、普通の商品が苦戦している。全体としては横ばいである。",
,,□,百貨店（販売促進担当）,お客様の様子,・全体的に低迷しているが、首都圏店舗の中でもきめ細かい仕掛けで客をとらえている店舗は好調に推移している。客の購買意欲が全くないわけではない。,
,,□,百貨店（販売管理担当）,来客数の動き,・３月に入り、気象の影響により来客数が減少している。特に、天候に左右されやすいミセス物を中心に、春物の動きが鈍い。入卒対応のスーツやセットアップでは、例年以上に兼用希望が多く、新規に購入しようという客が少ない。,
,,□,百貨店（業務担当）,お客様の様子,・３月中旬に改装した結果、売上は多少増加しているが、全体を押し上げるには至っていない。物産展は多くの客を集めているが、買い回りにはつながっていない。買上単価もあまり上がらず、来客数はそれなりに増加しているが、売上は増加していないという傾向が続いている。,
,,□,スーパー（店長）,販売量の動き,・３月は月初に積雪があり、彼岸の入りも雨となってしまった。晴れた日は花粉の飛散量が非常に多く、対策用品は爆発的に売れているが、消費者は外出を控えている。来客数と客単価が落ち込み、売上は前年割れしている。,
,,□,スーパー（店長）,販売量の動き,・天候、気温はそれほど悪くないが、主力の婦人服の春物アウターが不振であり、全体の数値を下げている。,
,,□,スーパー（店長）,販売量の動き,・３か月前から来客数は増加しているが、販売点数は前年割れで、買上単価も上昇してこないので、売上が厳しい状態が続いている。,
,,□,スーパー（総務担当）,単価の動き,・来客数は前年比で若干増加しているが、単価が上がらないため、売上は横ばいとなっている。,
,,□,コンビニ（経営者）,お客様の様子,・来客数、客単価ともに、横ばいで推移している。売上に特別の変化はみられない。,
,,□,コンビニ（経営者）,販売量の動き,・客の財布のひもは依然として固く、必要な物しか購入しない。消費者は、値段に見合う価値があるかどうかを考えて購入している。,
,,□,衣料品専門店（経営者）,お客様の様子,"・３月は学校関係の売上が大きいが、リサイクルの浸透、入学児童数の減少により、販売量は減少している。
・ファッション関連は、前年比を上回っている。",
,,□,家電量販店（店員）,お客様の様子,・決算期でも、以前のように大きな販売がみられない。シングル需要も、新品を一式そろえるより、リサイクル店を活用する動きが活発にみえる。,
,,□,乗用車販売店（経営者）,販売量の動き,・３月は整備の仕事が忙しく、例年比120％の売上であるが、販売が例年比80％である。,
,,□,乗用車販売店（渉外担当）,販売量の動き,・３月の新車販売実績見込みは予算達成率91.5％、対前年同月伸張率マイナス11.7％である。中古車販売実績見込みは80.5％、対前年マイナス26.7％で、年度末の動きとしては精彩を欠く。,
,,□,その他専門店［燃料］（統括）,お客様の様子,・原油価格が毎月上がっているため、市況価格の乱れがない。,
,,□,高級レストラン（支配人）,単価の動き,・３か月前と比較すると、売上、単価は悪化している。前年同月比でも、単価が372円低下しており、来客数も若干減少している。,
,,□,一般レストラン（経営者）,お客様の様子,・花粉症の影響か、天候が安定していても、客足にばらつきがある。,
,,□,一般レストラン（店長）,来客数の動き,・週の前半は動きがない。木、金曜日はにぎわうが、全体的に伸び悩んでいる。,
,,□,都市型ホテル（スタッフ）,来客数の動き,・個人利用は増えているが、法人利用が減少している。,
,,□,タクシー運転手,お客様の様子,・３月の街の様子は悪くないが、３、４月は一年でも好況月であることを考えると、決して喜べる状況ではない。,
,,□,タクシー（団体役員）,来客数の動き,・タクシーの乗車率は、横ばいか下降気味である。,
,,□,通信会社（営業担当）,単価の動き,・家族、学生の来客数は増加したものの、値下げ商品や廉価商品しか販売できていない。,
,,□,ゴルフ場（支配人）,来客数の動き,・月次ベースで昨年と同様の来客数があり、また予約も昨年と同じ件数を確保している。,・月次ベースで前年と同様の来客数があり、また予約も前年と同じ件数を確保している。
,,□,パチンコ店（経営者）,競争相手の様子,・５月の連休に向けて良い台が出てきており、客が少しずつ出てきている。しかし、スロットの場合は、逆の傾向にあり、全体として変わらない。,
,,□,設計事務所（所長）,お客様の様子,・大型マンション以外は、需要が一層減少している。過当競争で、値下げが激しい。,
,,□,住宅販売会社（経営者）,販売量の動き,・工事の受注、住宅の分譲ともに、価格が低く、販売量も極端に減少している。,
,,▲,一般小売店［茶］（営業担当）,来客数の動き,・大型ショッピングセンターとスーパーが、３月に２店舗開店したため、セールへの来客数が減少している。,
,,▲,百貨店（営業企画担当）,来客数の動き,・来客数の落ち込みが大きい。客は、本当に必要な物があるとき以外は来店しない傾向にある。近隣にショッピングセンターが新設され、外部的な要因も来客数減に拍車をかけている。,
,,▲,スーパー（統括）,お客様の様子,・来客数に変化はみられない。客の財布のひもは相変わらず固く、購入する物を選んでいる。,
,,▲,コンビニ（店長）,販売量の動き,・寒い日が続いたせいか、来客数、客単価ともに前年割れしている。,
,,▲,衣料品専門店（経営者）,来客数の動き,・３月は来客数が近年になく少ない。天候の影響もあるが、春物商戦は非常に苦戦している。,
,,▲,家電量販店（店長）,単価の動き,・単価が低下しており、今まで需要を引っ張っていたデジタル家電の動きも３か月前に比べて鈍い。,
,,▲,一般レストラン（経営者）,お客様の様子,"・これまで週に２、３回来店していた客の来店頻度が週１回になったりしている。
・会社での利用もなくなっている。",
,,▲,観光名所（職員）,来客数の動き,・来客数が前年比85％程度にとどまっている。,
,,▲,その他レジャー施設（経営企画担当）,お客様の様子,・以前は大変な売れ筋商品で、頼まれてもなかなか販売できなかった商品が、今では販促をかけても客の反応は鈍い。,
,,▲,設計事務所（所長）,単価の動き,・３か月前と比較すると、単価が５％以上低下している。,
,,▲,住宅販売会社（従業員）,販売量の動き,・毎年３月は販売量が増えるが、今年は販売量がかなり落ち込んでいる。値引き販売やキャンペーン展開などの仕掛け作りをしたが、空振りの結果になっている。,
,,×,衣料品専門店（経営者）,販売量の動き,・来客数はそれほど減少していないが、販売量と単価の下落が著しい。,
,,×,衣料品専門店（営業担当）,販売量の動き,・売上高が前年比で78％と、過去最低の春物商戦となっている。,
,,×,住宅販売会社（経営者）,販売量の動き,・住宅を見に来る客は多いが、相変わらず決断が鈍く、契約ができない。大手の安売り業者が大幅な値下げ価格で販売するので、仲介業者も客もそれらを参考にしてしまう。当社ではその水準には対応できず、契約しても赤字になってしまう。同業他社もその傾向が強い。,
"企業
動向
関連

(南関東)",,◎,－,－,－,
,,○,出版・印刷・同関連産業（経営者）,受注量や販売量の動き,・３月に入り、今まで動かなかった一般企業からの仕事が多少稼動している。絶対量はまだ少ないが、土木建築以外の案件が業種に関係なく少しずつ増加している感がある。,
,,○,金融業（渉外担当）,競争相手の様子,・銀行は融資先がなく、資金余剰の状態になっており、貸出競争に拍車がかかっている。多少リスクが伴う融資でも協力するケースが多くなっている。,
,,○,不動産業（総務担当）,取引先の様子,・当社所有ビルにおいては、新規の入居希望や既存テナントからの増床需要も旺盛で、空室率はかなり改善されている。2003年問題も収束した感がある。,
,,○,その他サービス業［情報サービス］（従業員）,受注量や販売量の動き,・中小規模の情報通信関連設備投資に対し、多数の予算確定があり、予定を上回る発注があったため、３月だけで今年度売上の大きな割合を占める受注となっている。,
,,□,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・ゴム印はやや減少傾向にあるが、会社設立の印鑑に関しては、12月の５本に比べ、３月は14本の受注があり、多少上向きな部分もあるが、全体としては変わらない。,
,,□,プラスチック製品製造業（経営者）,受注量や販売量の動き,・売上は相応であるが、受注量が減少している。,
,,□,プラスチック製品製造業（経営者）,取引先の様子,・原油価格の高騰による原材料の値上げが、依然として続いている。発注量の増大で何とかしのいできたが、一時的で長続きしない。,
,,□,電気機械器具製造業（経営者）,取引先の様子,・引き合いがやや活発になっているが、この３か月の成約率は50％を切っている。,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・毎年、年度末には駆け込み受注があるが、今年はその気配がない。小さな注文を数多く受けたので金額は例年並みであるが、手間がかかり経費が増えている分、利益率は低下している。,
,,□,建設業（経理担当）,競争相手の様子,・予算割れが確実な水準で仕事を確保する業者がいる。そこまでやらないと、仕事を確保できない状況である。,
,,□,輸送業（財務・経理担当）,取引先の様子,・商流荷物が頭打ちで、減便されている。,
,,□,通信業（営業企画担当）,競争相手の様子,・競合他社の提示価格を基準に、それ以上の値引率を条件として勧奨するケースもみられ、価格競争の激化に歯止めがかかっていない。,
,,□,金融業（審査担当）,取引先の様子,・不動産業者は商品物件の仕入れが難しくなってきており、入札物件は高値で落札していることから、採算が厳しくなっている。,
,,□,金融業（得意先担当）,取引先の様子,・倒産した取引先の業種をみると、昔は建設、不動産業が多かったが、今は小売業が多くなっており、消費の低迷を反映している。,
,,□,その他サービス業［廃棄物処理］（経営者）,受注量や販売量の動き,・取引先工場等の稼働率は、ほぼ例年どおりかやや下回る状況にあるが、新規の問い合わせもあり、受注量は横ばいである。,
,,▲,金属製品製造業（経営者）,取引先の様子,・得意先の年度末の仕事も一段落し、新年度の仕事が立ち上がるまで、暇になりそうである。,
,,▲,輸送業（総務担当）,取引先の様子,・例年、年度末は出荷量が非常に多く繁忙だが、今年は繁忙期間が短く、出荷量も少ない。,
,,▲,広告代理店（従業員）,受注量や販売量の動き,・新年度に向けての売上が前年度に比べて減少している。,
,,×,＊,＊,＊,
"雇用
関連

(南関東)",,◎,＊,＊,＊,
,,○,求人情報誌製作会社（広報担当）,周辺企業の様子,・工場の労働者などから、仕事が忙しく、休む間もないという話をよく耳にする。傍らからみていても、明らかに忙しくなっている様子がうかがえる。,
,,○,新聞社［求人広告］（担当者）,求人数の動き,・３月の求人広告数は前月比で10％増加している。求人数増加の理由の一つに、応募者の減少があげられる。これまで抑えてきた時給や月給の提示では、応募者が魅力を感じなくなっている。,
,,○,職業安定所（所長）,求人数の動き,・新規求人が前年同月比27.8％増加している。,
,,○,職業安定所（職員）,求職者数の動き,・新規求職者が前年同月比で12.5％減少している。２月の当所の有効求人倍率も1.57倍と前年同月を0.15ポイント上回っている。,
,,○,学校［専門学校］（教務担当）,求人数の動き,・今までは郵送、メール等での求人だったが、遠路来校する企業の採用担当者が増加している。,
,,□,人材派遣会社（社員）,採用者数の動き,・新人採用を増やした会社が増加しているが、再就職の採用は増えていない。,
,,□,人材派遣会社（社員）,求職者数の動き,・派遣会社間で優秀な人材の取り合いになっており、人材の確保に苦労している。人材募集のための費用等がかかる割には人が集まらない。求職者数が不足している。,
,,□,職業安定所（職員）,採用者数の動き,・求人倍率は３か月前、前年同月に比べ上がっているが、就職者数は３か月前、前年同月に比べ減少している。,
,,□,職業安定所（職員）,周辺企業の様子,"・大手グループで早期退職の募集による人員削減が実施されている。
・新規求人件数はやや増加しているが、新規求人数は横ばいである。雇用の拡大ではなく欠員補充による求人が多く、正社員枠をパート等に切り替えるなどの雇用調整もみられる。","・大手グループで早期退職の募集による人員削減が実施されている。
・新規求人件数はやや増加しているが、新規求人数は横ばいである。雇用の拡大ではなく欠員補充による求人が多く、正社員枠をパート等に切替えるなどの雇用調整もみられる。"
,,□,学校［専修学校］（就職担当）,求人数の動き,・来年３月卒業生用の求人件数は、現在、昨年度とほぼ同様の水準である。,・来年３月卒業生用の求人件数は、現在、前年度とほぼ同様の水準である。
,,▲,－,－,－,
,,×,－,－,－,
,,,,,,
　５．東海（地域別調査機関：（株）ＵＦＪ総合研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(東海)",,◎,商店街（代表者）,来客数の動き,・各店の来客数が増えている。購買意欲が出てきている。,
,,◎,観光型ホテル（スタッフ）,来客数の動き,・愛知万博の特需に支えられて、宿泊、宴会、レストランとすべての部門で好調である。,・愛知万博の特需に支えられて、宿泊、宴会、レストランと全ての部門で好調である。
,,◎,旅行代理店（経営者）,販売量の動き,・中部国際空港開港の影響で海外客が増えている。,
,,◎,旅行代理店（経営者）,お客様の様子,・愛知万博等の影響で街の雰囲気が良くなっている。,
,,○,商店街（代表者）,販売量の動き,・２月末から３月にかけて上向きだったが、３月下旬の愛知万博の開催により一段と販売量は上がっている。,
,,○,一般小売店［土産］（経営者）,来客数の動き,・中部国際空港開港や愛知万博開催の波及効果がある。,
,,○,一般小売店［土産］（経営者）,販売量の動き,・販売量は明らかに増えている。,
,,○,百貨店（企画担当）,来客数の動き,・春物の動きはそれほど良くないが、来客数は前年比増で推移している。,
,,○,スーパー（総務担当）,単価の動き,・来客数は横ばいであるが、客単価は1.8％上昇している。,
,,○,スーパー（仕入担当）,来客数の動き,・愛知万博が３月25日に開幕し、他県や外国からの観光客、関係者等の流入で購買客層は少しずつ増加している。また、愛知万博関連グッズも動き始めている。,
,,○,コンビニ（店長）,販売量の動き,・景気改善の兆候がみられる。愛知万博関連の特需も若干ある。,
,,○,衣料品専門店（企画担当）,販売量の動き,・３月は例年春物のピークだが、今年は動きが悪かった。ただし、今月投入の夏物商材の動きが良い。,
,,○,一般レストラン（経営者）,単価の動き,・近隣の企業団地からグループ客が多く来て、高単価品を注文し食後も飲物を注文するので、客単価の上昇につながっている。,
,,○,スナック（経営者）,来客数の動き,・送別会に加えて愛知万博の影響で関東、関西からの客が増え、来客数が伸びている。,
,,○,都市型ホテル（経営者）,来客数の動き,・季節的な要因に愛知万博、中部国際空港の動きが加わり、来客数は伸びている。,
,,○,都市型ホテル（支配人）,来客数の動き,・大宴会、婚礼、レストランは若干弱いが、宿泊は愛知万博の効果で稼動、単価とも大幅に良くなっている。,
,,□,商店街（代表者）,お客様の様子,・中部国際空港が開港した影響で、非常に好調な売行きである。しかし、周辺の量販店では売上が前年を大きく下回っているところがある。パイが増えたわけではなく、目新しい売店に客が移動した影響である。,
,,□,商店街（代表者）,単価の動き,・今年の年度末はあまり忙しくない。取引先でも同様な状況である。,
,,□,一般小売店［生花］（経営者）,販売量の動き,・卒業式などに贈る花の売行きが少しずつながら年々減っている。,
,,□,一般小売店［酒］（経営者）,来客数の動き,・３月半ばごろからの低温と風雨による天候不順で、来街者は目立って減少している。大手デパート開店の影響もあり、売上は伸びていない。ただし、来店した客はそこそこの買物をしており、天候不順による一時的な落ち込みである。,
,,□,一般小売店［薬局］（経営者）,来客数の動き,・東濃地方では、近隣での愛知万博、花フェスタなどの大型イベント開催や超大型アウトレットの開業、デパートの新館開業などの影響で、土、日は店内が閑散状態である。特に地元ファッション店は青色吐息で、ゴールデンウィークに向けて低迷が続く。,
,,□,一般小売店［贈答品］（経営者）,お客様の様子,・客は数店舗以上を買い回り、比較しながら買物している。他店と当店のバランスは非常に微妙なようで、結果は毎月違っている。,
,,□,一般小売店［高級精肉］（企画担当）,販売量の動き,・景気は踊り場が続いている。動きにメリハリがない。,
,,□,百貨店（売場主任）,お客様の様子,・月初めは紳士靴の新作が入荷し来店も好調であったが、名古屋の中心部に大型店が開店したころから来客数が減り、それに伴い売上も減少している。,
,,□,百貨店（売場主任）,お客様の様子,・冬のような寒さが続いており、春物の動きが悪い。春物の購入に訪れる客も、試着してもあまり購買意欲がわかない様子である。,
,,□,百貨店（外商担当）,お客様の様子,・前月に続き来客数が減少し、それに伴い売上も下回っている。しかし、外商は商談会への集客、売上、訪問販売のいずれも感触が良い。,
,,□,スーパー（店長）,お客様の様子,"・寒い日が多く、春物衣料の動きが大変鈍い。
・月末に特価セールを実施したが、販売量はその時だけ増えている。必要品以外は購入せず価格に敏感な傾向は変わっていない。",
,,□,スーパー（店長）,単価の動き,・客単価は前年の96％前後と相変わらず低迷している。競合店との低価格合戦で、単価向上は難しい。,
,,□,スーパー（店長）,お客様の様子,・以前は実施しなかったセールをここ３か月は毎週行っているが、客は慎重で、売上は全体的に伸び悩んでいる。,
