,,□,都市型ホテル（スタッフ）,単価の動き,・新年会は顔合わせ程度で、主に会議だけで終わってしまうという状況で、単価も良くて６千円程度である。,
,,□,都市型ホテル（スタッフ）,来客数の動き,・新年会の時期であるが、前年比で集宴会が20％、宿泊が25％程度のマイナスとなっている。,
,,□,旅行代理店（経営者）,来客数の動き,・３か月前と比べ、来客数が５％ほど伸びている。,
,,□,通信会社（営業担当）,販売量の動き,・ケーブルテレビの加入者純増数が前年比で伸びている。加入後に他社へ切替、解約する客は思っていたよりは少ない。これから２、３月の転居時期に解約が集中しそうである。,
,,□,観光名所（職員）,お客様の様子,・新年会シーズンに入り、来客数は例年並みであるが、節約ムードから日帰り客が多いことに加え、客単価が低く、旅館等の売上は例年を下回っている。,
,,□,競輪場（職員）,お客様の様子,・入場者数、購買単価とも、さほど変わっていない。,
,,□,その他サービス［自動車整備業］（事務長）,お客様の様子,・リサイクル法が２月から施行される関係で、車検有効期間が２月までの車両が若干前倒しで入庫しているが、全体の入庫量は前年並みとなっている。,
,,□,住宅販売会社（経営者）,単価の動き,・地域によって格差があり、市街地から離れるとまだ価格が下がっているところもあるが、全体としては落ち着いてきている。成約はいまだに現金決済が多く、一般需要は鈍い。,
,,▲,商店街（代表者）,来客数の動き,・正月の初売りに期待していたが、大型店に客を取られ、天気が良かった割に出足は悪い。,・正月の初売りに期待していたが、大型店に客を取られ、天候が良かった割に出足は悪い。
,,▲,一般小売店［金物］（経営者）,販売量の動き,・鉄関連製品の価格が上がり続けている。仕入先からは４月以降の値段もまた上がるうえ、品薄だといわれている。一方、販売先の建設、土木関係は景気が悪く、値上げを受け入れてもらえる状況ではない。,
,,▲,スーパー（経営者）,お客様の様子,・競合店との競争もあるが、買い控えをする客も大変多い。必要最小限の商品しか購入せず、集客のために価格を下げた日替わり商品しか購入しないという客が目立っている。,
,,▲,コンビニ（経営者）,販売量の動き,・付近に競合店や24時間営業の店があるため、客は一か所ではなく、分けて買物している。,
,,▲,乗用車販売店（販売担当）,お客様の様子,・観光地なので、ホテルなどのオーナーが客に多いが、１月に入り２軒ほど大型ホテルが再生法適用となり、２～３か月中にはあと４～５軒出るとうわさされている。年末は良かったが、１月になってからは財布のひもが固くなり、来客数、中古車の売行きは悪化している。,・観光地なので、ホテルなどのオーナーが客に多いが、１月に入り２軒ほど大型ホテルが再生法適用となり、２～３か月中にはあと４～５軒出ると噂されている。年末は良かったが、１月になってからは財布のひもが固くなり、来客数、中古車の売行きは悪化している。
,,▲,その他専門店［携帯電話］（営業担当）,販売量の動き,・正月の初売りは価格を安く設定したので成果はそれなりにあったが、価格を戻した途端に客足はぱったりと遠のいている。月末に新機種発売が予定されているが、価格が売行きを左右する大きな要因であるため、旧機種の値段がどれだけ下がるかが焦点である。,
,,▲,高級レストラン（店長）,来客数の動き,・常連客には変化がないが、フリーの客が極端に減少している。,
,,▲,スナック（経営者）,来客数の動き,・人通りがめっきり減っていて普通の客が少ない。新年会は前年並みに入っているが、忘年会同様大口が例年より少なく、客単価も下がり気味で、全体的に良くない。一次会はあるが、二次会の流れがないような状態である。,
,,▲,観光型ホテル（スタッフ）,来客数の動き,・新年会が少なく、人数も小規模になっている。,
,,▲,旅行代理店（営業担当）,販売量の動き,・昨年秋以降、販売量の漸減、前年割れが止まらない。経済環境の厳しさ、大規模な自然災害による旅行マインドの低下など要因は考えられるが、対策はなかなかみえない。,・前年秋以降、販売量の漸減、前年割れが止まらない。経済環境の厳しさ、大規模な自然災害による旅行マインドの低下など要因は考えられるが、対策はなかなかみえない。
,,▲,タクシー運転手,それ以外,・新年会などある月なので、もう少し動くと思っていたが、週末でも深夜の客が少なく、売上が減少している。,
,,▲,遊園地（職員）,来客数の動き,・年末の大雪により正月営業が不調に終わったことが影響し、入場者数は前年に比べ１万人減少しそうである。利用単価も150円低下の見込みである。,
,,▲,ゴルフ場（支配人）,それ以外,・冬季で一番予約が入っている年末年始がすべて雪でクローズとなり、最悪の状態である。夏の暑さはカバーできても、雪はカバーできない。今月がこれほど雪に左右されるとは予想外である。,・冬季で一番予約が入っている年末年始が全て雪でクローズとなり、最悪の状態である。夏の暑さはカバーできても、雪はカバーできない。今月がこれほど雪に左右されるとは予想外である。
,,▲,美容室（経営者）,販売量の動き,・成人式の着付けは美容室の売上では重要である。今年は着物販売業者から、当店通常価格の約半額で着付けをしてもらえないかと申し出があり、期待して取り組んだが、紹介された客は大した数ではなく、この値下げにより例年に比べ、全体の売上が落ちている。呉服屋が着付け教室の生徒などを使い、客に着付けをサービスするなど、他業種に客が流れる傾向があり、大変厳しい時代である。,
,,▲,住宅販売会社（経営者）,お客様の様子,・一つの物件が決まるまで、今まではそんなに時間がかからなかったが、客はとても慎重になっている。最後には必ず値段交渉の話になり、非常にやり辛く、採算割れとなる物件も十分ありえるような状態で、賃料、土地とも下落状態が続いている。,
,,×,一般小売店［衣料］（経営者）,来客数の動き,・観光地であるが、旅館関係は不況が目立ち、500メートルほど先の旅館が２億円の負債を抱え倒産となった。銀行も手を出さないと聞いている。どうなるか分からない厳しい世の中になっている。,
,,×,設計事務所（所長）,単価の動き,・本来の設計業務とはかけ離れた内容でも、仕事として割り切って受注しているが、単価が低く、売上に影響が出ている。新規の設計業務の受注は、なかなか見込めない。,
"企業
動向
関連

(北関東)",,◎,－,－,－,
,,○,食料品製造業（製造担当）,受注量や販売量の動き,・前年同時期に比べると、受注、販売の数量は増加している。,
,,□,食料品製造業（営業統括）,受注価格や販売価格の動き,"・中小メーカーはオーナー制度等の個々の特色を出した販売をしているが、相変わらず輸入品に押され、主力の価格帯である500～1,500円の製品が苦戦している。",
,,□,化学工業（総務担当）,受注量や販売量の動き,・高圧ガスの需要は横ばいである。末端でのガスの使用はまだ回復していない。,
,,□,一般機械器具製造業（生産管理担当）,受注量や販売量の動き,・引き続き四輪駆動車向けの部品受注が好調であり、フル生産が続いている。,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・自動車、携帯関連企業は安定した生産、利益を出しているが、下請の小零細企業は親会社の都合に振り回され、いまだに非常に厳しい状況が続いている。,
,,□,精密機械器具製造業（経営者）,取引先の様子,・引き合いは多いが、納期、コストが厳しい。,
,,□,その他製造業［宝石・貴金属］（経営者）,受注量や販売量の動き,・秋の売出し時期であった３か月前と比べると、クリスマス、年末セールが終わって落ち着いた１月の売上は良くないが、前年と比べて特に下がっているわけではない。市場としては様子見で、いまだに上昇の気配はない。,
,,□,建設業（経営者）,受注量や販売量の動き,・受注の減少、採算の悪化が続いている。,
,,□,輸送業（営業担当）,取引先の様子,・通常１月は輸送量が落ち込むが、暖冬によって12月に落ち込んでいた冬物輸送が、１月寒さが戻ったことで増加している。,
,,□,金融業（経営企画担当）,取引先の様子,・製造業の業況は好況感があるものの、設備投資は少なく、横ばい状態である。土木、建設業は公共事業の減少により厳しい状況が続いており、建築資材の値上がりが収益を圧迫しているとのことである。,
,,▲,プラスチック製品製造業（経営者）,受注量や販売量の動き,・12～１月にかけて売上が非常に下がってきている。まだ中国への移転が終わっていないということである。,
,,▲,窯業・土石製品製造業（経営者）,取引先の様子,・例年の受注状況と比較すると、受注キャンセルなどがあり、明らかに悪くなっている。,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・例年２月は自動車関連で忙しくなるが、季節的なものである。発注が長期ではなく毎月売れたら作るという形になってきて、非常に計画が立てにくくなっている。,
,,▲,不動産業（管理担当）,受注価格や販売価格の動き,・来年度の契約更改交渉が始まっているが、最近の契約内容の見直しを反映して、前年並みの価格維持が非常に難しくなっている。,
,,▲,広告代理店（営業担当）,取引先の様子,・年度末が近づき、取引先の広告予算縮小傾向が目立つ。また、２月納品分の支払を新年度予算で４月に支払いたいという要請は前年の倍あり、サービス業の決算は依然厳しいようである。,・年度末が近づき、取引先の広告予算縮小傾向が目立つ。また、２月納品分の支払を新年度予算で４月に支払たいという要請は前年の倍あり、サービス業の決算は依然厳しいようである。
,,▲,その他サービス業［放送］（営業担当）,受注量や販売量の動き,・製造業及び官公庁からのコマーシャルは横ばいであるが、商業、サービス業からのスポットコマーシャルが11月から減少している。イベント受注の落ち込みも厳しい。,
,,×,窯業・土石製品製造業（総務担当）,受注量や販売量の動き,・例年ならば受注、生産共にピークになる時期だが、低調に推移している。,
,,×,電気機械器具製造業（経営者）,受注量や販売量の動き,・通信機やパチンコ関係からの受注が半減している。,
,,×,輸送用機械器具製造業（総務担当）,受注量や販売量の動き,・１月の売上は前年比12～13％減少する見込みである。３か月インフォメーション上も毎月落ちているので、景気は悪くなっている。,
,,×,建設業（総務担当）,受注量や販売量の動き,・３月工期の民間工事依頼があったが、単価が通常の10％引きであることや、突然の話で人員手配ができないために、残念であるが断っている。,
"雇用
関連

(北関東)",,◎,－,－,－,
,,○,職業安定所（職員）,求人数の動き,・建設業の新規求人数が大幅に増加している。,
,,□,人材派遣会社（営業担当）,求人数の動き,・ＩＴ関連製造業からの派遣オーダーがぽつぽつ戻ってきているが、２～３月から稼動し、６月辺りを一区切りとしていることから、長期的な景気の持ち直しとはいえない。シルバー関連施設からの派遣要請は根強いが、適材者を見付けづらく、なかなか契約成立まで至らない。,
,,□,求人情報誌製作会社（経営者）,求人数の動き,・今までは製造業の人材派遣会社が多かったが、最近はサービス業など他業種の募集が増えてきて、以前に比べ掲載企業が多くなっている。,
,,□,職業安定所（職員）,求人数の動き,・求人数の増加傾向は変わらず、有効求人倍率も上昇しているが、新規、有効求人とも前年同月比での増加率が減少してきている。,
,,□,民間職業紹介機関（経営者）,求人数の動き,・求人に変化はあまり見られないが、一部の大手企業が採用に積極的である。,
,,□,学校［短期大学］（就職担当）,求人数の動き,・製造業で、結婚、出産退職による事務職の追加求人の問い合わせが若干あるが、例年と変わらない。,
,,□,学校［大学］（総務担当）,求職者数の動き,・前年同期と比べ、大学生の内定率は若干伸びている。一部学科は90％の内定率であるが、全体としては厳しい状況が続いている。,
,,▲,人材派遣会社（経営者）,求職者数の動き,・生産関係は電気、電子、鉄鋼など在庫調整もあるが、12月から順調で求人数も増加している。小売部門は購買力が若干伸びていることから、求人の動きも活発である。一部に賃金の高いところもあるが、職安から求職者がかなり出てきているという情報もあり、全体としては横ばいである。,
,,▲,職業安定所（職員）,求職者数の動き,・求職者は減少傾向にあり、そのうちの離職者も減少しているが、企業整備が数件続いたことから事業主都合による離職者は約３割と増加している。,
,,×,新聞社［求人広告］（担当者）,求人数の動き,・当社だけに求人を出していた客が、かなりの部分を安い業者に出すケースが増えている。また、今までは何回か募集をかけて厳選した人を採用していたところが、１回の募集で妥協して採用するということが増え、募集回数の減少により、売上がその分減っている。,
,,,,,,
　４．南関東（地域別調査機関：（財）日本経済研究所）,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,
"家計
動向
関連

(南関東)",,◎,＊,＊,＊,
,,○,商店街（代表者）,販売量の動き,・12～１月にかけて、街におけるクレジットカードの売上が過去最高を記録している。特に、12月後半から１月前半にかけての伸びは大きかった。,
,,○,一般小売店［家具］（経営者）,単価の動き,・１月中旬ごろから来客数が多少増えている。高額の商品も多少成約するようになり、単価もいくらか良くなってきている。,
,,○,百貨店（売場主任）,販売量の動き,・販売量や単価が、１月は前年をクリアしている。久々に他店に追いつけるような水準で推移しており、３か月前より多少良くなっている。,
,,○,百貨店（広報担当）,販売量の動き,・例年、１月の初商日は年間で最も売上が大きい日であるが、今年は、過去の最高記録を大きく更新している。冬らしくなったことで、防寒衣料に買い控えをしていた客が一気に動いて、冬物セールが全体をけん引している。,
,,○,百貨店（統括）,お客様の様子,・初商、クリアランスと前年を超える好スタートを切っている。中盤から終盤も気温が低く、冬物セールが売上を維持し、特にアパレル需要が好調である。ただし、婦人アパレルを中心に春物の動きは鈍く、不安要素となっている。,
,,○,百貨店（販売管理担当）,販売量の動き,・３か月前は、残暑やその後の台風等の気象条件に左右され、来客数が減少し、客の購買意欲が削がれていた。それに対し１月は、冬物の後ろ倒しもあり、セールを中心に活発な動きがある。全店売上も久々に大きな伸びを示している。,
,,○,スーパー（統括）,来客数の動き,・前年同月に比べると、来客数は着実に増えている。ただし、消費者の生活防衛意識が強いせいか、売上は横ばいで、景気が完全に上向いているとはいえない。,
,,○,乗用車販売店（経営者）,販売量の動き,・高級車市場に変化はないが、一般車市場は台替需要もあり、販売はやや良い傾向で推移している。,・高級車市場に変化はないが、一般車市場は乗換えもあり、販売はやや良い傾向で推移している。
,,○,その他専門店［眼鏡］（店員）,来客数の動き,・新春セールが一段落したころから客足も戻りつつあり、１0万円以上の高額商品の動きも良い。買上単価は前年比３ポイントほど上昇している。,
,,○,都市型ホテル（スタッフ）,販売量の動き,・今年に入り、宴席利用やレストラン利用等、客の動きがかなり活発になっている。,
,,○,都市型ホテル（スタッフ）,お客様の様子,・前半の客の動きは悪かったが、後半は常連客の利用が伸びている。単価の上昇はないが、土、日、祝日を中心に一般客の利用も出てきている。しかし、会社関係の新年会等の利用は少なく、何とか個人売上で落ち込みをカバーし、昨年同月売上に達している。,・前半の客の動きは悪かったが、後半は常連客の利用が伸びている。単価の上昇はないが、土、日、祝日を中心に一般客の利用も出てきている。しかし、会社関係の新年会等の利用は少なく、何とか個人売上で落ち込みをカバーし、前年同月売上に達している。
,,○,旅行代理店（従業員）,販売量の動き,・訪日外国人の取扱が増加している。,
,,○,その他レジャー施設［アミューズメント］（職員）,販売量の動き,・家庭用については、年末に販売された携帯ゲーム機が予想をはるかに上回り売れている。同時にソフトも売れており、活況を呈している。アミューズメント施設は、昨年末ごろの落ち込みから回復しており、景品を取得するゲーム、シールプリント機を中心に売れている。,・家庭用については、年末に販売された携帯ゲーム機が予想をはるかに上回り売れている。同時にソフトも売れており、活況を呈している。アミューズメント施設は、前年末ごろの落ち込みから回復しており、景品を取得するゲーム、シールプリント機を中心に売れている。
,,□,商店街（代表者）,販売量の動き,・住宅建材の雨どいや屋根材が、台風、地震の被災地に優先的に送られているため品薄で、注文があっても販売できない。,
,,□,一般小売店［鞄・袋物］（従業員）,お客様の様子,・季節商品や価格を抑えた商品については非常に動きが良いものの、日常の身の回り商品は厳しい。単価を正規価格品の２割引きにすると動きが良くなるが、定価ではなかなか動かない。ただし、季節需要商品であれば、１割増でも動いている。,・季節商材や価格を抑えた商品については非常に動きが良いものの、日常の身の回り商品は厳しい。単価を正規価格品の２割引きにすると動きが良くなるが、定価ではなかなか動かない。ただし、季節需要商品であれば、１割増でも動いている。
,,□,百貨店（企画担当）,単価の動き,・新春からの１月の動きをみると、来客数は前年並みを確保しているが、ファッションは紳士、婦人とも単価が幾分落ちている。,
,,□,百貨店（広報担当）,お客様の様子,・初売りがクリアランスセールの立ち上がりと同時になり、11、12月に売れなかったコートを早々にセールで販売したため、上、中旬は好調であった。しかし、後半に入るとこれに続く売れ筋が見当たらず、売上全体では前年を若干下回る商況となっている。,
,,□,百貨店（営業企画担当）,販売量の動き,・海外特選ブランドや婦人服、ヤングキャリア部門が好調であった以外は厳しい結果である。消費者が本当に欲しい物以外は買わない傾向が、より一層強まっている。,
,,□,百貨店（業務担当）,お客様の様子,・クリアランスになってから、売上は前年を維持しているが、単価が相当低下していることを勘案すれば、売上を確保しているからといって、状況が良くなっているとは考えられない。,
,,□,スーパー（店長）,単価の動き,・生鮮品は鍋材料の動きが良い。特に、精肉は昨年のＢＳＥ（牛海綿状脳症）、鳥インフルエンザ（高病原性鳥インフルエンザ）から１年が経過し、昨年を３～４％上回っている。衣料は、クリアランスの開催で前半は大きく数字を伸ばしたが、今は落ち着いている。,・生鮮品は鍋材料の動きが良い。特に、精肉は前年のＢＳＥ（牛海綿状脳症）、鳥インフルエンザ（高病原性鳥インフルエンザ）から１年が経過し、前年を３～４％上回っている。衣料は、クリアランスの開催で前半は大きく数字を伸ばしたが、今は落ち着いている。
,,□,スーパー（店長）,来客数の動き,・気温の低下で初売りや福袋が良かったため､11、12月よりも若干来客数は上向いているが、昨年比では依然として96％と大きく下回っている。,・気温の低下で初売りや福袋が良かったため､11、12月よりも若干来客数は上向いているが、前年比では依然として96％と大きく下回っている。
,,□,スーパー（店長）,販売量の動き,・来客数は前年を上回っているが、買上点数、買上単価が前年を上回る月がない。,
,,□,コンビニ（経営者）,販売量の動き,・来客数は若干多めであるが、客単価が低下している。販売量は全体的に変わらない水準で推移している。,
,,□,衣料品専門店（次長）,お客様の様子,・年末年始は通常、年末に売上が増加し、年明け後は落ち込むが、今年は年明け後の比率が上がっている。年末に物を買い込む消費行動が薄れる一方で、他社も含め福袋が売れており、買物を楽しむ様子も感じられる。,
,,□,衣料品専門店（営業担当）,来客数の動き,・年が明けてバーゲンの時期に入っているが、毎日の売上のばらつきが大きく、昨年並みがやっとである。,・年が明けてバーゲンの時期に入っているが、毎日の売上のばらつきが大きく、前年並みがやっとである。
,,□,家電量販店（店員）,単価の動き,・薄型やプラズマ、液晶テレビの単価が若干低下しており、台数は相応に売れているが、売上は前年と同じである。,
,,□,乗用車販売店（渉外担当）,販売量の動き,・１月の新車販売は、前年同月比でマイナス23.4％と大きく落ち込んでいる。前年同月は高級看板車種の発売直後であったが、その分を割り引いたとしても物足りない。中古車の販売は予算達成率82.2％、前年同月比では2.3％の微増の見込みである。,
,,□,その他専門店［キャラクターグッズ］（従業員）,販売量の動き,・福袋の売行きに陰りがみえる。,
,,□,高級レストラン（支配人）,来客数の動き,・来客数は３か月前と比較してやや減少しているが、売上は若干良くなっている。,
,,□,一般レストラン（経営者）,来客数の動き,・月に２回来店していた客が１回の来店になるなど、景気が良くなっている様子はうかがえない。,
,,□,一般レストラン（店長）,お客様の様子,・新年会を省き、事務所で乾杯をして終わりにしているところが大多数で、その後来店しても軽く飲んで終わりというケースが上旬は多かった。後半も、正月に金を使ってしまったせいか、まっすぐ帰宅する人が多い。,
,,□,タクシー運転手,来客数の動き,・寒さのせいか、１月は思ったより客の動きが良い。夜の客は少なく、終電以降はほとんどいないが、日中はある程度客が動いている。,
,,□,タクシー運転手,競争相手の様子,・１月は新年会等が多少あったものの、夜は早く帰宅しているようで、同業者を多く見かける。月初は良かったものの、その後はあまりよくない。,・１月は新年会等が多少あったものの、夜は早く帰宅しているようで、同業者を多く見かける。月初は良かったものの、その後はあまり良くない。
,,□,通信会社（営業担当）,お客様の様子,・１月という特殊な月の要因もあるが、テレビ、インターネット共に、契約件数は伸びていない。,
,,□,通信会社（営業担当）,販売量の動き,・新規の件数はやや減少しているが、機種変更や次世代への契約変更は増加している。,
,,□,パチンコ店（経営者）,競争相手の様子,・ライバル店も含め、店舗の来客数はさほど変化していない。,
,,□,その他レジャー施設（経営企画担当）,お客様の様子,・価格志向が強まっている一方で、ホテルでの飲食など、ある程度ぜいたくな出費を行う客も少なくない。,
,,□,住宅販売会社（経営者）,販売量の動き,・10～12月までは建て売り住宅が全く売れなかったが、新年になってからは、家探しの人が結構動いており、販売も若干出ている。,
,,□,住宅販売会社（従業員）,販売量の動き,・土地を購入する新築客、建て替え客を含めて、相変わらず低迷している。客は資金面で不安感があり、決断に慎重で時間がかかっている。,
,,▲,一般小売店［茶］（営業担当）,販売量の動き,・正月の福袋には客が集中したものの、全体的に正月気分もなく、通常の時期と同じような雰囲気で終了している。来客数も変わらず、売上は２％減少している。,
,,▲,百貨店（営業担当）,単価の動き,・気温の影響は大きいものの、セール商品のみが売れている。春物の動きも悪い。,
,,▲,スーパー（店長）,来客数の動き,・１月は、衣料品の来客数が前月と比較して10％ほど度落ち込んでいる。単価も９掛けとなっており、売上は減少している。,・１月は、衣料品の来客数が前月と比較して10％程度落ち込んでいる。単価も９掛けとなっており、売上は減少している。
,,▲,コンビニ（経営者）,販売量の動き,・以前は客が２個買っていたところが、現在は１個になるなど、商品の販売数が減少している。まとめ買いもなくなっている。,
,,▲,コンビニ（経営者）,単価の動き,・来客数は変わらないが、客単価が多少低下している。,
,,▲,衣料品専門店（経営者）,単価の動き,・年明けと同時にバーゲンが始まったが、暖冬のため冬物の単価を早めに下げたため、商品単価及び客単価が低い。１月は来客数が増加したにもかかわらず売上、利益とも減少している。,
,,▲,衣料品専門店（営業担当）,お客様の様子,・12月は暖かく、コートやジャケットが動かなかった。１月に入り寒くなったからといって、客は購入するわけでなく、昨年のものを着る客が多い。,・12月は暖かく、コートやジャケットが動かなかった。１月に入り寒くなったからといって、客は購入するわけでなく、前年のものを着る客が多い。
,,▲,家電量販店（営業部長）,販売量の動き,・好調に推移した年末商戦後、１月前半は勢いがまだ残っていたが、後半は厳しくなっている。特に、デジタルカメラの落ち込みが顕著である。,
,,▲,乗用車販売店（販売担当）,単価の動き,・景気に左右される輸送運賃単価の値上がりが望めず、車両購入の値引き交渉が厳しくなり、金額ダウンを要求されている。,
,,▲,都市型ホテル（スタッフ）,お客様の様子,・婚礼は、競合相手の出店で苦戦している。一般法人の宴会については、新規問い合わせは減少していないが、客単価が婚礼の約半分なので、婚礼をカバーするには至っていない。,
,,▲,旅行代理店（従業員）,単価の動き,・国内の宿泊は土曜日しか需要がなく、単価は抑え目である。客に宿泊したいという意思はあるが、単価が下降気味である状況は変わっていない。,
,,▲,旅行代理店（従業員）,お客様の様子,・１月はインターネットからの見積依頼がわずか２件で、前年に比べても少ない。既存の客の見積依頼等も少なかったので、やや悪くなっている。,
,,▲,通信会社（営業担当）,販売量の動き,・年末キャンペーンの反動で、放送、通信とも販売量が激減している。,
,,▲,観光名所（職員）,来客数の動き,・来客数が前年比77％と落ち込んでいる。,
,,▲,ゴルフ練習場（従業員）,お客様の様子,・暖冬予測であったものの、週末に雪や雨が降ることが多く、来客数、売上共に伸び悩んでいる。,
,,▲,設計事務所（所長）,競争相手の様子,・競争相手をみても、受注量は減少している。,
,,▲,住宅販売会社（経営者）,販売量の動き,・工事の受注、住宅の分譲の双方とも価格が低く、販売量も以前と比べて極端に少なくなっている。,
,,▲,住宅販売会社（従業員）,販売量の動き,・毎年１月から３月にかけては、住宅、不動産の販売量が増加する傾向にあるが、１月は正月休みの新春キャンペーンの日程や天候が悪く、来場者も減少したため、販売量が落ち込んでいる。,・毎年１月～３月にかけては、住宅、不動産の販売量が増加する傾向にあるが、１月は正月休みの新春キャンペーンの日ほどや天候が悪く、来場者も減少したため、販売量が落ち込んでいる。
,,×,コンビニ（経営者）,来客数の動き,・来客数の減少とともに、販売量も急激に落ちている。,
,,×,通信会社（営業担当）,販売量の動き,・新規加入の大幅な減少、解約の増加がある。,
"企業
動向
関連

(南関東)",,◎,＊,＊,＊,
,,○,一般機械器具製造業（経営者）,受注量や販売量の動き,・数か月前から立ち上げなくてはいけなかった仕事が立ち上がったので、今は量産に入っており、受注量はある程度確保されている。売上は３か月前より多少良くなっている。,
,,○,建設業（営業担当）,受注量や販売量の動き,・企業の設備投資が上向いており、大型の不動産が動き出している。建物の改修、新築の情報が多くなっている。,
,,○,輸送業（営業統括）,受注量や販売量の動き,・１月は新年の売出しセールで、販売量が多く、新規の客も獲得したので、売上が伸びている。,
,,○,金融業（渉外担当）,取引先の様子,・不動産投資が盛んになってきている。特に、長期的な収益をもくろみ賃貸物件に触手を伸ばす企業が増加している。,
,,○,税理士,取引先の様子,・年が明けて、個人の確定申告の手続に入っているが、昨年より所得が増加している顧問先が増えている。,・年が明けて、個人の確定申告の手続に入っているが、前年より所得が増加している顧問先が増えている。
,,○,その他サービス業［ディスプレイ］（経営者）,受注量や販売量の動き,・新規客からの問い合わせや受注がある。,
,,□,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・前年同月比で受注件数が５％ほど伸びているが、ロット数が下がり、売上は横ばいである。,
,,□,プラスチック製品製造業（経営者）,受注量や販売量の動き,・受注は増えているものの、年度末の特需であり、景気が良くなっているわけではない。,
,,□,プラスチック製品製造業（経営者）,取引先の様子,・客先の営業努力の成果がうかがえ、受注量は増加しているが、開発や投資に関しては動きが鈍い。,
,,□,金属製品製造業（経営者）,取引先の様子,・見積案件は増加しているものの、短納期で価格面で折り合いがつかないなど、今までと大きな変化はない。,
,,□,電気機械器具製造業（経営者）,取引先の様子,・見積引き合い件数のうち、成約に至るのは45％前後で、やや悪い方向ではあるものの、悪いなりに安定している。,
,,□,金融業（審査担当）,取引先の様子,・生鮮食品関係の流通は停滞気味である。,
,,□,広告代理店（従業員）,受注量や販売量の動き,・以前は年度末需要が多かったが、近年はほとんどない。,
,,□,経営コンサルタント,取引先の様子,・取引先の衣料品関係では、客単価の低下傾向が継続している。来客数の伸びで売上高が前年割れを起こしていないだけである。,
,,□,その他サービス業［廃棄物処理］（経営者）,受注量や販売量の動き,・取引先工場等の稼働率が、ほぼ例年通りかやや下回る状況で、受注量は横ばいである。,
,,▲,食料品製造業（経営者）,受注価格や販売価格の動き,・年末年始の贈答品の購買価格が低下している。,
,,▲,電気機械器具製造業（経営者）,受注量や販売量の動き,・売上が前年度、前々年度の同じ時期を下回っている。営業担当者を増員したり、新製品を投入するなどの努力をしているが、売上が増えない。まとまった物件がほとんどない。,
,,▲,建設業（経理担当）,受注量や販売量の動き,・見積案件は相応にあるものの、成約に至るものは少ない。,
,,▲,輸送業（経営者）,取引先の様子,・すべての得意先からの荷物の動きが悪くなる一方である。,・全ての得意先からの荷物の動きが悪くなる一方である。
,,▲,輸送業（総務担当）,それ以外,・運賃と作業賃以外は、軒並み値上がりしている。異動などによる変動費化で固定費の削減を図り、外注の内作化で対応している。,
,,×,非鉄金属製造業（経理担当）,取引先の様子,・取引先が、開業以来最低の状態だと話している。,
"雇用
関連

(南関東)",,◎,＊,＊,＊,
,,○,人材派遣会社（社員）,求人数の動き,・派遣契約が終了するものがあるが、新たな派遣依頼や派遣契約開始の件数が、終了よりもはるかに上回っている。,
,,○,職業安定所（職員）,求人数の動き,・しばらく求人を見合わせていた企業からの求人が増加している。求人を出した企業からは、早く採用したいという相談等が増加している。,
,,○,民間職業紹介機関（経営者）,求人数の動き,・紹介予定派遣を中心に求人数が増加している。ただし、要求される技量レベルや仕事内容に難しさがあり、採用決定数には表れていない。,
,,○,学校［専門学校］（教務担当）,求人数の動き,・コンピュータ系の専門学校の就職担当をしているが、ここにきて、ＳＥやプログラマーの追加募集がかなりある。未内定学生がいないため、残念ながら対応できない。,
,,□,人材派遣会社（支店長）,求人数の動き,・求人数は大きく変わっていない。,
,,□,職業安定所（所長）,雇用形態の様子,・新規求人は増加しているが、派遣や業務請負といった非正規雇用が依然として多い。,
,,□,職業安定所（職員）,それ以外,・有効求人倍率は上昇し、求職者数は減っている。職種別にみると、事務的職業が0.47倍と低く、就職件数も若干減少している。求職者が求めるものと求人者が求めるものとにギャップがあり、就職に結び付けることが難しい。,
,,□,職業安定所（職員）,周辺企業の様子,・有効求人倍率は11月から11年ぶりに0.8倍を超えているが、製造業で雇用調整が続いている。多くの下請企業で受注単価が下落しており、厳しい状況が続いている。,
,,□,民間職業紹介機関（経営者）,求人数の動き,・幅広い業種の企業から、求人が出てきている。,
,,□,学校［専修学校］（就職担当）,求人数の動き,・求人獲得件数が前年同月比でほぼ増減がない。,
,,▲,新聞社［求人広告］（担当者）,求人数の動き,・求人数は横ばい又はやや上昇傾向にあり、通常であれば景気が上向いている証拠であるが、求人内容を分析すると、従来の求人より賃金を減額した求人など、増産等による増員ではなく、経費削減をねらった体質強化のための求人が目に付く。,
,,▲,職業安定所（職員）,求人数の動き,・正社員求人、パートタイマー求人が、過去３か月間の各月との比較でいずれもマイナスとなっている。特に、これまで求人の増加を支えてきた製造業で、求人が漸減する傾向がみられる。,
,,▲,職業安定所（職員）,求人数の動き,・新規求人数が前年同月比で25％程度減少しており、４か月連続で減少している。３か月前との比較でも15％程度減少している。特に製造業での減少が著しい。,
,,×,－,－,－,
,,,,,,
　５．東海（地域別調査機関：（株）ＵＦＪ総合研究所）,,,,,,
