,,▲,一般レストラン（経営者）,単価の動き,・材料費や経費はどんどん上がっているが、飲食にかける消費者の予算はより一層、シビアになってきている。,,
,,▲,スナック（経営者）,来客数の動き,・例年だと割と良い時期だが、今年は宴会の予約があまり多くない。通行量も、めっきり少なくフリー客も伸びない。,,
,,▲,タクシー運転手,お客様の様子,・従来、駅までタクシーを利用していた人が、自転車に乗換えたり、駅近くの駐車場を借りたりと、タクシー利用者がますます減少している。地方では、一人１台の割合で自家用車を持っており、帰路も飲酒せずに帰っている。,,
,,▲,タクシー（役員）,販売量の動き,・前年同月と比べ、下がっている。,,
,,▲,通信会社（社員）,お客様の様子,・購入目的での来客数が減っている。,,
,,▲,美容室（経営者）,競争相手の様子,・取引先営業と話をしたが、最近は繁盛店の話をあまり聞かないとのことである。10月は天候の良い日が続いているにもかかわらず、人出があまりなく、売上、単価共に、漸減している。,,
,,▲,その他サービス［自動車整備業］（経営者）,お客様の様子,・車検整備、車体整備、板金塗装の注文で、必要最小限を望む客が増加している。そのまま放置し使用すれば、後で修理費用がかさむと理解していても、現在の経済状況では我慢し、また、愛車の美観上、かなり問題がある状態でも同じ理由で我慢している。,,
,,▲,設計事務所（所長）,それ以外,・大手サッシメーカーの営業の話では、かつてないほど受注が落ちている。また、当地ゼネコンの話では以前と状況が変わり仕事の争奪が厳しい、と話している。,,
,,×,一般小売店［衣料］（経営者）,来客数の動き,・当地の山奥の紅葉はぼつぼつ終わったが、当店の周りの紅葉は見ごろであり、客はよく来ている。ただし、買物については、あまり買わないため困っている。,,
,,×,通信会社（経営者）,販売量の動き,・相変わらず地方の不景気に歯止めはかからない。本来なら今月から、年末に向けて広報ラッシュのはずだが、そんなものは微塵もない。,,
"企業
動向
関連

(北関東)",,◎,その他製造業［環境機器］（経営者）,受注量や販売量の動き,"・前月は環境装置の納品で通常の2.5倍の売上となっている。今月は決算月で、前年決算より売上で1.31倍の46,000万、減価償却で1.49倍の9,300万、利益予想で約2,000万となる見込みである。当社２番目の太陽光発電所、約14,000万を一括償却予定のため赤字になる。",,
,,○,食料品製造業（営業統括）,競争相手の様子,・ガソリン価格の低下や10月の晴天続きが大きく影響して、来県者数が大幅に伸び、工場見学者は前年と比べて、１割程度増加している。,,
,,○,化学工業（経営者）,受注量や販売量の動き,・主力製品の出荷低迷から少し上向いてきている。また主力製品以外の出荷も３か月前と比べ、増えている。,,
,,○,輸送用機械器具製造業（経営者）,取引先の様子,・この２～３か月は、取引先の様子、受注量、販売量の動き等、いろいろ忙しいところ、暇なところがある。当社はまずまずの良い状況である。,,
,,○,輸送用機械器具製造業（経営者）,受注量や販売量の動き,・主要取引先の輸出が増加している。,,
,,○,その他製造業［宝石・貴金属］（経営者）,受注価格や販売価格の動き,・一部小売店の業況は上向いてきているが、全体的には低迷が続いている。東京で開催された国際展示会も中国の景気動向の影響で来場者数、売上共に減少している。,,
,,○,建設業（総務担当）,受注量や販売量の動き,・最近になり発注、受注共に急増してきている。現場も手一杯になっている。,,
,,○,金融業（経営企画担当）,取引先の様子,・中国の景気減速懸念から、外国人観光客の減少が予想されたものの影響はなく、増加傾向である。,,
,,□,食料品製造業（製造担当）,受注量や販売量の動き,・数量は前年と比べ、ほぼ変わらない。,,
,,□,窯業・土石製品製造業（経営者）,取引先の様子,・例年の季節商材受注対応はあるが、他はあまりない。,,
,,□,窯業・土石製品製造業（総務担当）,受注量や販売量の動き,・多少、動きがみられるようになってきている。,,
,,□,一般機械器具製造業（経営者）,受注量や販売量の動き,・パワーショベル関連の仕事が低迷し、他の産業分野の仕事でマイナス分を補いきれない状況である。また、全体的に数量のまとまった仕事が減ってきている。,,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・どうも景気が回復しているとは思えない。現状、受注量もあまり変わらず、どうにもならない。ある部門では、手が空いて仕事が全くなく、近年にない厳しい状況になっている。,,
,,□,電気機械器具製造業（経営者）,受注量や販売量の動き,・前年同時期に比べ、ほとんど変わらないが、安定した仕事がなく、短期納品が多い。営業活動を常に行わないと、仕事はなくなる。,,
,,□,輸送業（営業担当）,取引先の様子,・10月に入り、バーベキュー、レジャー用品等の行楽用品と冬物家電等の商材が、例年並みには動いている。特に好材料はないが、燃料価格が少し下がっている。,,
,,□,金融業（役員）,受注価格や販売価格の動き,・市場にパイがない中での競争により、非常に厳しい単価となっている。,,
,,□,不動産業（管理担当）,受注量や販売量の動き,・取引先から業務発注の打診は増えているものの、当社が受注しても利益は出ないため、ほとんど断っている。,,
,,□,新聞販売店［広告］（総務担当）,取引先の様子,・小売店の出店などが重なり、今月のチラシ出稿量は112.7％と今年最高の伸び率となっている。一方で、地元日刊紙の紙面広告では、首都圏からのもの、地元のもの共に減少していて前年割れとなっていると聞いている。,,
,,□,経営コンサルタント,取引先の様子,・どの業界でも内部的に業績格差はあるものの、総体的に可もなく不可もない通常の経営サイクルに入っている。,,
,,□,社会保険労務士,取引先の様子,・想定の範囲内なのだろうが、売上が厳しくなってきている、と話す中小事業所が増えてきているようである。,,
,,□,その他サービス業［情報サービス］（経営者）,受注量や販売量の動き,・前月は、上半期末で一時的に増加したが、それ以外に、特段の変化は見られない。,,
,,▲,建設業（開発担当）,受注量や販売量の動き,・現政権のもと公共工事は２年連続発注増であったが､最近では前年比10％減と急速に落ち込んでいる。当社も前年比６％の受注減と、不安材料である。10年以上続いた建設業不況がこの２年で、何とか上向いてきたものの、今後が心配である。ただ言えることは前政権の建設業政策に比べ、現政権は有り難い。,,
,,▲,金融業（調査担当）,取引先の様子,・中国経済減速の不透明感が増し、製造業では業況感が低下している。,,
,,▲,不動産業（経営者）,受注量や販売量の動き,・条件が合わず、契約が更新できない物件も出ている。,,
,,▲,広告代理店（営業担当）,受注量や販売量の動き,・年末商戦への宣伝広告の立案、検討時期に入っているためか、企業の広告アクションが前年より10％程度、一気に減っている。,,
,,×,電気機械器具製造業（経営者）,受注量や販売量の動き,・主要取引先からの受注が非常に不安定である。当社取引先は市場動向の見極めに苦労しているようである。,,
"雇用
関連

(北関東)",,◎,－,－,－,,
,,○,職業安定所（職員）,求人数の動き,・求人数が上向いている。正社員求人も増えてきている。,,
,,□,人材派遣会社（経営者）,求人数の動き,・自動車関連、電機、製造業等における求人内容は、ひとまず落ち着いている。住宅関連の着工は、伸び悩んでいるようだが、土木建築等の動きは見られた。さらに食料品等の生鮮食品は少し高値だが、購買力はあったように見受けられる。ただし、秋冬物については、まだ出足が鈍いようである。,,
,,□,人材派遣会社（管理担当）,求職者数の動き,・各業種共に夏と同様の求職者数である。良くなっている状況ではないが、悪くもなっていない。,,
,,□,人材派遣会社（営業担当）,周辺企業の様子,・ボーナスの検討時期でもあるが、業績が悪く、打つ手がないため。来季以降も含めて人員削減を考えている企業がある。,,
,,□,人材派遣会社（支社長）,求人数の動き,・10月の受注が前年比で120％を超えるなど、好調を維持している。,,
,,□,求人情報誌製作会社（経営者）,周辺企業の様子,・求人紙に掲載する企業は、３か月前より多少増えている。ただ、周辺企業全体をみると景気は低迷しており、正社員の募集は少ない。,,
,,□,職業安定所（職員）,周辺企業の様子,・建設業、製造業、卸・小売業、福祉、サービス業等、管内の主力産業で前年同月と比べて、新規求人が増加しており、依然として人手不足の傾向は続いている。そのうち派遣求人の占める割合が引き続き増加している。一方で、小規模ではあるものの人員整理の情報や、大手電子機器企業より一時帰休による助成金の相談が寄せられるなど、一部には不安な要素もある。,,
,,□,民間職業紹介機関（経営者）,求人数の動き,・求人をけん引する製造業では、扱う製品により企業間格差が広がり、リストラを始めた大手企業の一部門、忙しく求人が増える自動車及び医療関連企業と、様々な様相を呈している。,,
,,▲,人材派遣会社（経営者）,求人数の動き,・今までの売上より、最近の売上、働く人の数が減っている。景気は悪いと思う。,,
,,▲,職業安定所（職員）,採用者数の動き,・新規の求人、求職者数及び有効求人、求職者数が減少傾向の中、就職者数は220件前後で推移していたが、今月は190件と半年ぶりに200件を下回る結果となっている。このことから、企業では業務量増加による積極的な採用が行われなかったとみている。,,
,,×,＊,＊,＊,,
,,,,,,,
　４．南関東（地域別調査機関：株式会社日本経済研究所）,,,,,,,
,,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の現状判断,業種・職種,判断の理由,追加説明及び具体的状況の説明,,
"家計
動向
関連

(南関東)",,◎,一般小売店［祭用品］（経営者）,来客数の動き,・今年は周期の行事があり、来客数が多い。,,
,東京都,◎,コンビニ（エリア担当）,販売量の動き,・好天に恵まれたことと、セールやテレビコマーシャルを通じた商品の販売促進が奏功し、販売量は前年よりも好調に推移している。,,
,,◎,その他小売［ショッピングセンター］（統括）,販売量の動き,・前年は残暑が長引いて秋が短かったが、今年は秋の期間が十分にあることも好調の一要因と考えている。プレミアム付商品券の影響はプラスとしてあるものの、薄れている。全般的に専門店の売上が好調で、改装店舗は確実に売上を積んでいる。業種としては、映画が前年比２割増、飲食、ファミリー衣料、雑貨、身の回り品が同１割弱の増加、婦人服は前年並みに戻っている。,,
,東京都,◎,観光名所（職員）,来客数の動き,・これから秋を迎えてピークとなる。10月は天候に恵まれ、前年よりかなり良い実績を確保している。来月もトップシーズンを迎えるため、これから良くなる。,,
,東京都,◎,設計事務所（所長）,お客様の様子,・なかなか契約に至らなかった案件が締結できたため、良くなっている。,,
,,◎,住宅販売会社（従業員）,販売量の動き,・今月の販売量は目標の約170％と数字上の景気は良いが、前月からの販売量のずれ込みなどを考慮し、景気はやや良いと判断している。また、３か月前と比べ、明らかに景気は良くなっている。展示場への来場数や問い合わせも増えてきている。,,
,,○,一般小売店［印章］（経営者）,単価の動き,・当地域ではプレミアムが３割付いたプレミアム付商品券が出ており、商品券で買物に来る客がちらほらみられる。割と反響はあるが一過性のため、売上増を見込んで良いのか迷っている。,,
,東京都,○,一般小売店［文房具］（経営者）,販売量の動き,・客単価及び販売点数が増加傾向にある。また、近隣のイベント開催により来街者が増えたため、当店への来客数の増加につながっている。店内に入った客が、商品を購入する比率が高まってきている。,,
,,○,一般小売店［文具］（販売企画担当）,販売量の動き,・店頭においては、何か月も来客数が順調に上がっている。外商があまり良くなかったが、今月から大口物件が徐々に決まるようになってきている。,,
,,○,一般小売店［茶］（営業担当）,販売量の動き,・大口の需要が入り、売上が上がっている。来客数も微増している。,,
,東京都,○,百貨店（営業担当）,単価の動き,・アパレル関連の動きが良く、前年比６％増、食料品も同２％増と堅調である。また、中国の国慶節によるインバウンドの影響もあり、全般的に売上高を大きく伸ばしている。国慶節の期間は売上高４割、来客数は７割強の増加である。百万円を超える金額は減少しており、売上増の要因は客数増によるものである。一方、国内客では販売点数が減少しているものの、購買単価の上昇がプラス要因であり、国内外の傾向は二極化している。,,
,東京都,○,百貨店（営業担当）,お客様の様子,・婦人衣料の秋冬商戦については前年になかったコーディガン、ガウチョなどのトレンドが出ており、たんす在庫にないこともあって売れている。ただし、気温の低下に従って衣料が売れてしまったため、雑貨は後回しになっているのか、売上が苦戦傾向にある。,,
,,○,百貨店（店長）,販売量の動き,・今月は天候が安定していたことに加えて、気温が下がったことから秋冬物の衣料、雑貨の動きが良くなってきている。,,
,,○,スーパー（経営者）,お客様の様子,・きちんと手を入れた物、気持ちを込めて販売する物は売れる。やればやっただけの反応があるから良くなっていっている。,,
,,○,スーパー（総務担当）,お客様の様子,・今月は気温が下がったため、衣料品を中心に売上が好調に推移している。また、青果物の相場が高いこともあって、単価が上がり、売上が良くなっている。ただし、メインである米などの乾物については単価が下がっており、今後の見通しが分からない状況である。,,
,,○,スーパー（仕入担当）,単価の動き,・客の買物頻度は変わらず、来客数は伸びていないものの、値上げによる１品単価、客単価が上がっており、売上は前年度を２％上回っている。,,
,,○,コンビニ（経営者）,来客数の動き,・経営している主要な３店舗の平均値が売上で約２～３％増えているので、やや良くなっている。,,
,,○,コンビニ（経営者）,来客数の動き,・本部の政策に客の反応が良く、前年比で来客数が105％、単価は100％だが、売上に結び付いている。,,
,,○,衣料品専門店（経営者）,来客数の動き,・気温も天候も良く、久しぶりに来客数が２けた増となっており、プレミアム付商品券の効果を少々感じる。,,
,,○,衣料品専門店（経営者）,お客様の様子,・３か月前と比べ、まとめ買いや旅行のために購入する客が多くなってきている。,,
,,○,衣料品専門店（統括）,来客数の動き,・気温の低下もあるが、クールビズ中においても秋物の需要が非常に高まっており、来客数の増加につながっている。,,
,,○,衣料品専門店（営業担当）,販売量の動き,・今月は気温が定まらず、前半良かった売上も伸び悩み、前年比96％と前年まであとわずかである。,,
,,○,乗用車販売店（経営者）,販売量の動き,・自動車の整備と販売をしているが、今月は整備、販売共に順調であり、このままいってくれれば良いと期待している。,,
,,○,乗用車販売店（経営者）,お客様の様子,・新車の販売台数は伸び悩んでいるものの、新型車の発表やモデルチェンジがあったりで、客へのアプローチができて販売拡大が進んでいる。,,
,東京都,○,乗用車販売店（販売担当）,競争相手の様子,・新車トラックについては前年並みを維持しているが、中古車は需要が少し減ってきていると各業界でいわれている。ただし、輸出関係が一時的にストップしたためで上含みといわれているので、年末にかけては景気が向上して中古トラック、新車トラックの需要が若干増えていく。,,
,東京都,○,その他飲食［居酒屋］（経営者）,来客数の動き,・年末に向けて忘年会の問い合わせ、予約数が増えている。また、通信販売を始めた高単価商品も予想より売れており、景気が良くなっていると感じている。,,
,,○,旅行代理店（経営者）,単価の動き,・今までは単価が中の下ぐらいだったが、今月に入ってからは中の上ぐらいにはなってきているので、客の財布のひもが緩んできている。,,
,東京都,○,旅行代理店（従業員）,お客様の様子,・10月上旬は問い合わせの電話の嵐で、処理しきれないほどであった。国内団体旅行の見積も１日に50件近くある。,,
,東京都,○,旅行代理店（営業担当）,お客様の様子,・新商品の申込が好調である。,,
,,○,タクシー運転手,お客様の様子,・ここ数か月、昼間の利用が良く、これは暮れまで続くとみている。夜の利用は少ないが、11月半ばを過ぎれば早めの忘年会などで活気が戻ってくると期待したい。,,
,,○,その他サービス［学習塾］（経営者）,来客数の動き,・ここへきて急に市場の動きが活発化してきたと感じる。,,
,,○,住宅販売会社（従業員）,販売量の動き,・３か月前も大分景気が上がってきていたが、更に良くなってきている。アパートの販売が好調で在庫が不足してきている。仕入ができれば販売も並行して好調に推移していく。,,
,,□,商店街（代表者）,販売量の動き,・良くなっているのか、実感がまだつかめない。,,
,東京都,□,商店街（代表者）,来客数の動き,・最近の景気は良いとはいえない。近隣に大型店ができたため、大変影響している。これからは大型店の出店等、様々なことを考えていかなくてはならない。,,
,東京都,□,商店街（代表者）,それ以外,・世の中が若干下り気味の傾向にあるなか、当地域ではクレジットカードの取扱高や、イベントでの人出は前年同月の数字を維持している。インバウンドも当地域は団体旅行客を対象としていないので、さほど大きな変化はない。,,
,東京都,□,商店街（代表者）,販売量の動き,・商店街を取り巻く環境はいまだ厳しい。しかしながら、自助努力の過程なのか、旧態依然とした土地付き地主の店舗が廃業し、時代に即した店子が出店し、ここではにぎわいを取り戻そうとしている。客が買いたい物のある商店街に再生していかなければならないと実感している。,,
,,□,一般小売店［和菓子］（経営者）,お客様の様子,・週末の秋の祭りや学校行事などの注文が前年に比べて多く入ったため、売上は少し伸びたが、通常の来店客はあまり増えておらず、売上にはそれほどつながっていない。,,
,東京都,□,一般小売店［家具］（経営者）,販売量の動き,・前月、近隣に大手家具店がオープンしたため大分影響すると思っていたが、あまり影響がなさそうである。,,
,,□,一般小売店［靴・履物］（店長）,単価の動き,・単価は相変わらず、廉価な物と少し高価なものとに分かれており、総じて変わりない。,,
,東京都,□,百貨店（総務担当）,販売量の動き,・気温が段々下がってくると同時に衣料品が少しずつ動いているが、まだ本格的な動きにはなっていない。一方、来客数も前年に比べてやや減少というなかで、全体の購買動向は相変わらず不透明であり、明るい兆しがまだみられない。,,
,東京都,□,百貨店（営業担当）,販売量の動き,・インバウンド、富裕層の購買は少しずつではあるが前年より増加している。一方、一般の消費は依然厳しく、二極化は更に顕在化している。金額としては微増となっているが、全体的に改善しているとは言い切れない。,,
,東京都,□,百貨店（販売促進担当）,来客数の動き,・売上は前年を大きく上回っているものの、訪日外国人による免税売上の伸びによるところが大きく、それを除くと前年ととんとんが良いところである。地域によっては前年を割ってしまっている。,,
,,□,百貨店（販売促進担当）,単価の動き,・絵画販売会で高価格の商材にも動きがある反面、全体では客単価の落ち込みがみられる。消費に対して慎重な客の方が多い。,,
,東京都,□,百貨店（計画管理担当）,お客様の様子,・店内ショップの入替えがあり、新しく入ったショップが好調に推移し、久しぶりに前年をクリアしている。新しい物が提示されることにより、消費を喚起することができることを実感している。景気が悪いのではなく、特別欲しい物がないから買わないようなので、需要は喚起できる余地がある。,,
,東京都,□,百貨店（営業企画担当）,来客数の動き,・富裕層の客の消費は継続して堅調である。海外旅行者の伸びはこれまでほどではないものの、消耗品が免税対象になった前年の伸び率が特別なものとしてとらえれば、想定の範囲内である。,,
,,□,百貨店（副店長）,お客様の様子,・10月は比較的天候にも恵まれ、前年を上回る売上で推移している。物産展などの催事が好調であったが、プレミアム付商品券との連動効果などもあり、実質的に景気が上向いているとの実感は充分にはない。,,
,東京都,□,スーパー（販売担当）,お客様の様子,・客の様子をみていると、店ごとの特典のある日、何曜日ポイント何倍、タイムセールスの売出しなどの特典を、うまく利用しながら買い回っている。,,
,,□,スーパー（経営者）,来客数の動き,・来客数は減少しているものの単価が上昇しており、相殺して何とか売上を維持しているが、やはり厳しい状況である。,,
,東京都,□,スーパー（店長）,販売量の動き,・値上げの影響もあり単価は上昇しているものの全体的な物量は増えておらず、必要最低限の買物で済ませているように感じる。,,
,東京都,□,スーパー（営業担当）,販売量の動き,・世界的にも国内的にも為替相場や株の相場が安定してきたことに加え、短期的に行っているプレミアム付商品券の効果も若干あり、今のところ好調である。,,
,,□,スーパー（仕入担当）,それ以外,・日中の気温が高いことと野菜の相場が高いため、鍋材料の動きが鈍い。１品単価は上昇傾向にあるが、買上点数が減っているため、売上増につながっていない。,,
,東京都,□,コンビニ（経営者）,来客数の動き,・来客数が若干減少している。,,
,,□,コンビニ（経営者）,お客様の様子,・プレミアム商品やコーヒーの売上は順調だが、ナショナルブランドの一般商品は、食品スーパーの連日の特売で大幅にダウンしている。客の店舗や業態の使い分けが顕著に表れてきている。,,
,,□,コンビニ（経営者）,販売量の動き,・当店では約２年前からデイリー食品の見切り販売を始めている。この時間内にどうしても売ってしまいたいような物を値段を下げて客に提供しているため、客単価は若干下がっているが、来客数が増えている。この傾向は今後も続く。客に対してある程度アピールして経営していけば、もう少し良くなっていくのではないか。,,
,,□,コンビニ（経営者）,来客数の動き,・来客数は変わらず横ばいである。,,
,東京都,□,コンビニ（商品開発担当）,来客数の動き,・客単価は上昇傾向にあるものの、来客数が減少している状況に変化がない。,,
,,□,衣料品専門店（経営者）,お客様の様子,・客がジャストシーズン型になり先物の商材に興味を示さないため、日々の天候に大きく左右されている。,,
,,□,衣料品専門店（経営者）,販売量の動き,・プレミアム付商品券の効果を期待していたが、９月、10月と売上が逆に減少し、消費の方向が生活必需品に偏っているようで、ゆとりのある様子がみられない。,,
,東京都,□,家電量販店（店員）,単価の動き,・販売量などの動きが平行線である。,,
,,□,家電量販店（統括）,来客数の動き,・既存店舗の来客数の減少がいまだに改善されない。客単価の上昇で売上を確保している状況が続いている。,,
,東京都,□,家電量販店（経営企画担当）,来客数の動き,・国内消費は踊り場状態と考えている。前年の来客数を割っており、消費者ニーズの多様化なのか、要因が把握できていない。,,
,,□,乗用車販売店（営業担当）,販売量の動き,・９月の決算が終わり反動減があったため、期待していなかったが、例年に比べると販売量が増えている。,,
,,□,その他専門店［ドラッグストア］（経営者）,販売量の動き,・来客数が若干減少し、販売点数がやや増えている。一気に寒くなるかと思ったがまだ暖かい日が多く、暖か商材の動きはまだ鈍い。,,
,,□,その他専門店［ドラッグストア］（経営者）,販売量の動き,・３か月前と比べて販売量が減っているとともに、来客数も減っている。,,
,東京都,□,その他小売［ショッピングセンター］（統括）,お客様の様子,・プレミアム付商品券の販売から時間が経過したものの、食料品を中心とした実需品での利用が目立ち、依然生活環境にゆとりは見受けられない。,,
,東京都,□,その他小売［ゲーム］（開発戦略担当）,販売量の動き,・前年比70～80％となる見通しである。前年は新作大型タイトルがあり、今年はなかったという理由はあるが、定番系タイトルも動きが鈍く、低調である。,,
,東京都,□,高級レストラン（副支配人）,来客数の動き,・法人関連の宴席の推移から、変わらない。,,
,東京都,□,高級レストラン（仕入担当）,単価の動き,・販売量は前年比で増えているものの、販売単価を上げられるほどの勢いがまだない。,,
,,□,一般レストラン（経営者）,来客数の動き,・景気はそれほど変わらない。販売量が増えているのは、ケータリングの仕事が多少増えているためである。店の通常客はそれほど変わらない。,,
,東京都,□,一般レストラン（経営者）,来客数の動き,・回遊する人数は増加傾向にあるが、集客には直接つながらない。,,
,,□,一般レストラン（経営者）,来客数の動き,・３か月前と比べて来客数及び単価はあまり変わらず、売上は全体的に良くはない。何かもっと良くなるような方策があればと思うが、サラリーマンの動きも今一つである。,,
,東京都,□,一般レストラン（経営者）,販売量の動き,・前月比でみて、３か月前の７月１～28日までの売上は101.6％、来客数98.1％であった。今月は、１～30日までの売上が106.1％、来客数102.3％という結果である。,,
,東京都,□,一般レストラン（経営者）,来客数の動き,・今月は夏の勢いが少し落ちて、やや穏やかな動きである。今までが忙しかったため、ゆっくりした状態である。,,
,,□,都市型ホテル（総務担当）,販売量の動き,・稼働率が好調である。販売量、金額共に前年を上回っている。,,
,東京都,□,旅行代理店（従業員）,販売量の動き,・前年同期比100％前後のため、変わらない。,,
,東京都,□,旅行代理店（従業員）,単価の動き,・円安傾向が変わらない。,,
,東京都,□,旅行代理店（販売促進担当）,販売量の動き,・個人は９月の北関東での豪雨の関係で、被害はそれほどになかったが、その後の風評被害や旅行の手控えで非常に厳しい。また、団体、法人共にそれほどの伸びもない。,,
,東京都,□,タクシー運転手,お客様の様子,・今月の景気は低迷したままで、前年同月比と変わらない。相変わらず空車タクシーの列だけがいつもの様相で、高速道路もスムーズに走れる、ただし、カード利用者が多くなっており、遠、中距離客のほとんどが利用する。少し忙しく感じたのは月末の１日だけである。,,
,東京都,□,タクシー運転手,お客様の様子,・個人タクシーだが、客の様子は会社関係は変わらない感じである。下町の昼の客は高齢者や主婦層が多いが、景気の悪さを感じることがない。,,
,東京都,□,通信会社（経営者）,販売量の動き,・10月から下期修正予算となり、テレビは当初予算と比べて増加、インターネット、電話は減少の予算に対し、現在、獲得、解約共にぎりぎり達成するような状況である。今月後半からＭＶＮＯ（仮想移動体通信事業者）サービスが予約開始となり、順調に滑り出している。,,
,東京都,□,通信会社（社員）,お客様の様子,・今月も契約自体は順当に獲得できている。解約については当初見込みより増加傾向にあるが、2015年１月から月次の目標は達成できている。しかしながら、伸び率は前月くらいから鈍化傾向にある。,,
,,□,通信会社（管理担当）,販売量の動き,・販売量は若干減少しているものの、台風など天候によるものもあり、実質的には横ばいである。,,
,東京都,□,通信会社（営業担当）,お客様の様子,・ケーブルテレビ設備を導入していない集合住宅へ導入工事を行い、併せて加入の促進をした結果、契約数が増大した。しかし、インターネットと電話のサービスは既に加入している他社と月額料金を比較して、当社の方が安いために乗り換えた客が多かった。客は価格について敏感になっている。,,
,,□,通信会社（営業担当）,単価の動き,・多チャンネルサービスの上位コースの比率も横ばいであり、景気の上昇、下降は感じられない。,,
,東京都,□,通信会社（局長）,単価の動き,・契約数は前年と同程度である。トレンドは上昇気味だが、単価が上昇する気配がない。契約数の増加は他社動向が影響しているため、決して景気が上向いているとはいえない。,,
,,□,通信会社（営業担当）,お客様の様子,・加入状況について新規加入、コース変更いずれも必要最低限の選択をする客が多い傾向に変わりはない。,,
,東京都,□,通信会社（経営企画担当）,お客様の様子,・案件の増加がみられない。,,
,,□,ゴルフ場（支配人）,競争相手の様子,・地区の同業者の来場者数及び収支状況については、平年並みの数値である。,,
,,□,ゴルフ場（支配人）,単価の動き,・今年に入り、ここ数か月の状況の変化はあまりみられず、例年より客単価を上げられる状況にない。,,
,,□,その他サービス［保険代理店］（経営者）,販売量の動き,・単品のみで複数の商品購入が減少している。その分、単価上昇に傾注し、そこそこの売上を維持しているが、思ったとおりの状況にはなっていない。,,
,,□,設計事務所（経営者）,それ以外,・当社の仕事全体でみると、行政の指名や入札が多いものの、それ以外の民間案件の動きは大変低調である。住宅の建築は多くが住宅メーカーになってしまい、地元工務店にほとんど仕事が来なくなってしまい、ここ最近は住宅産業メーカーに追われている感じがしている。設計業務も非常に少なくなり、入札や一般から取る仕事は大変難しく、先がみえない状況である。,,
,,□,設計事務所（経営者）,お客様の様子,・前月と同様、期初に始まったプロジェクトは粛々と動いており、新しいプロジェクトの話もあるが、まだ具体的な話とはなっていない。,,
,東京都,□,住宅販売会社（従業員）,販売量の動き,・戸建住宅の契約が低調である。客との商談に時間がかかっており、決定力が弱くなっている。賃貸住宅は前年と比べて横ばいで、多少好調を維持している。,,
,,□,住宅販売会社（従業員）,販売量の動き,・土地利用を絡めた大型物件の受注量が減少しており、戸建住宅部門の奮闘だけではカバーしきれず、全体の受注残が減少傾向にある。,,
,,▲,商店街（代表者）,単価の動き,・客の買物動向をみていると、最近は非常に節約型になっている。１つの商品を買うのに、よく周りを見て、さらに他店を回り、なおかつリーズナブルな値段の物を買っている。,,
,,▲,一般小売店［家電］（経理担当）,販売量の動き,・当店を始め、近隣の商店が静かである。ただし、工事などは忙しい。商品の動きをみても良くない。,,
,,▲,一般小売店［食料雑貨］（経営者）,来客数の動き,・近隣の競合店が改装工事で休業している。,,
,東京都,▲,一般小売店［茶］（営業担当）,競争相手の様子,・茶葉と粉末茶がお茶屋にとって売上の大きなウエイトを占めている。粉末茶の競争見積は今まで粉末茶のみだったが、景気悪化により、自動給茶器の販売、レンタルによる粉末茶の代金を契約書に盛り込む業者がほとんどである。見積の競争に参加できても、現在の業者に勝つには機械の売上利益はほぼゼロという厳しいハードルを越えないと客を獲得できないのが現状である。,,
,,▲,百貨店（売場主任）,来客数の動き,・天候が不安定で来客数が97％と落ち込んでおり、売上も婦人服、紳士服は厳しい。その反面、化粧品は好調である。客は必要な物以外は買い控える傾向にある。,,
,,▲,百貨店（総務担当）,お客様の様子,・宝飾類など一部高額品の動きはあるものの、デイリーの消費に慎重な姿勢がうかがえる。,,
,東京都,▲,百貨店（広報担当）,来客数の動き,・前年の消費税増税による買い控えの影響が消えてきた夏場以降は、継続して来客数が５％程度減少傾向にあり、なかなか歯止めがかからない。また、近隣で大型ショッピングセンターの出店などもあり、将来的にも商圏の拡大は見込めない。,,
,東京都,▲,百貨店（営業担当）,来客数の動き,・婦人服の高額品は動いているものの、中間層の動きが悪く、来客数が伸びていない。中間層の実質賃金が上がらない以上、衣料品にお金を出す、あるいは買物することが二の次になっている。,,
,,▲,百貨店（店長）,来客数の動き,・生鮮三品を中心に食品の不振が影響している。,,
,東京都,▲,スーパー（経営者）,お客様の様子,・買物の単価、来店回数が減っている。,,
,,▲,スーパー（店長）,販売量の動き,・販売点数が思ったより伸びていないことと、特売やチラシで安売りをしても、それほど多く買っていかない。点数が伸びず、単価が下がっているため、売上が思うようにいかない。,,
,,▲,コンビニ（経営者）,販売量の動き,・客は少しでも安い物、単価が同じであればメリットのある物を選んでいる。また、品数も減っている。,,
,,▲,乗用車販売店（店長）,販売量の動き,・販売量が減少傾向になっている。客の動向も悪く、購買意欲が感じられない。,,
,,▲,乗用車販売店（総務担当）,来客数の動き,・決算月の翌月でもあり、販売、客の動きが鈍ってきている。,,
,,▲,住関連専門店（統括）,販売量の動き,・来客数はある程度見込まれているものの、それに伴う販売点数、販売額は伸び悩んでいる。,,
,東京都,▲,一般レストラン（経営者）,来客数の動き,・10月に入って明らかに売上が伸び悩んでいる。フリーの来店客も今一つである。月中から若干持ち直したが、月初からの落ち込みが響いて、伸び率が９月までより若干鈍化している。,,
