,東京都,○,家電量販店（店長）,販売量の動き,・４Ｋ放送の開始でテレビが好調である。また、インフルエンザの流行もあり、空気清浄機、加湿器が大きく伸長している。,
,東京都,○,家電量販店（店長）,販売量の動き,・今月は初売りから終始前年度の実績を日別でクリアしている。特に良かった商品群は、エアコン、冷蔵庫、洗濯機などである。前年比104％で締めている。,
,東京都,○,乗用車販売店（経営者）,販売量の動き,・初売りのＣＭ効果もあり、来客数が増えて、新車の販売台数も前年以上である。,
,東京都,○,乗用車販売店（営業担当）,販売量の動き,・３月の本決算に向けて良くなっている。４月の税制改革が要因になっている。,
,東京都,○,乗用車販売店（販売担当）,お客様の様子,・自動車や建設関係は、基本給を上げて新規募集をしている傾向が顕著にみられる。人手不足もあるが、ある程度景気が上向きになると、どうしても人材が欲しい。そういう面で賃金ベースを上げていると判断をして、景気は徐々に良くなっている（東京都）。,
,東京都,○,乗用車販売店（店長）,販売量の動き,・消費税再増税を目前に控え、緩やかではあるが、販売量や客の動向も向上しているように感じる。,
,東京都,○,乗用車販売店（店長）,販売量の動き,・３月でエコカー減税が終了するため、今年に入り駆け込み受注が増えている。,
,東京都,○,高級レストラン（仕入担当）,販売量の動き,・１月に旗艦店である本店がリニューアルオープンし、その効果が出てきつつある（東京都）。,
,東京都,○,一般レストラン（経営者）,来客数の動き,・３か月前と比べて、予約がやや増えてきたような気がする。来客数が多少増えているが、景気が良くなったかといえば、まだ分からない。,
,東京都,○,一般レストラン（経営者）,単価の動き,・客単価は、前年比103％で、３か月前と比べても１％上がっている（東京都）。,
,東京都,○,その他飲食［居酒屋］（経営者）,単価の動き,・例年正月明けは来客数が減る傾向にあるが、客単価は上昇している。これから売上が伸びると予想している（東京都）。,
,東京都,○,都市型ホテル（スタッフ）,販売量の動き,・宿泊、レストラン共に６日以降は例年どおりの売上で推移し、閑散期ではあるが、まずまずのスタートを切っている。宴会は新年会を中心にリピート案件を取り込めている。また、直近での予約なども入り、予算達成の見込みである。節約傾向は相変わらず続いているが、販売量は少しずつ増加してきている。,
,東京都,○,旅行代理店（従業員）,お客様の様子,・ゴールデンウィークの大型連休の海外旅行は既に完売に近く、過去に見たことのないキャンセル待ちをもらっている状況である。航空機チケットは追加仕入れが難しいので、需要があっても供給できない（東京都）。,
,東京都,○,通信会社（管理担当）,お客様の様子,・４Ｋ放送に関する問合せが多くなってきている。若い世代ではなく、50代以上が高画質な映像に興味を持っていることがうかがえる。特に、ＮＨＫの８Ｋ放送に関する問合せが多く、テレビ購入を本格的に検討している様子が顕著である。,
,東京都,○,通信会社（経営企画担当）,お客様の様子,・案件数が増加している（東京都）。,
,東京都,○,設計事務所（経営者）,お客様の様子,・今までなかなか収入に結び付かなかったが、少しずつ収入につながるようになってきている。,
,東京都,□,商店街（代表者）,それ以外,・クレジットカードの取扱は落ち着いてきている。株価が急落すると意外に影響を受けるので、この落ち着きは良いと取れるのではないか。ただし、力強さは全然ないので、現状維持としている。イベントに対するレスポンスも目立って良いとはいえない（東京都）。,
,東京都,□,一般小売店［家電］（経理担当）,販売量の動き,・この時期の割には商品がぽつぽつ動いているが、細かい物が多い。ホームページからの問合せや工事、修理依頼が来ている。ＰＨＥＶ（プラグインハイブリッドカー）の工事もそこそこある。,
,東京都,□,一般小売店［家電］（経営者）,販売量の動き,・期待していた４Ｋ放送対応のテレビの動きが余り良くない（東京都）。,
,東京都,□,一般小売店［茶］（営業担当）,販売量の動き,・毎年のこととはいえ、年末～１月は販売量が伸びず、現状を維持するのも難しい状況である。したがって、景気が良いとはとてもいえない（東京都）。,
,東京都,□,百貨店（総務担当）,競争相手の様子,・近隣商業施設の改装の動きにより、やや良くなっている。,
,東京都,□,百貨店（広報担当）,お客様の様子,・ラグジュアリーブランドなどの価値の高い物、希少性が高い商材やイベントなどへの購買意欲や関心は引き続き高いが、それ以外のカテゴリーへの消費意欲は低調である。また、好調を下支えしていたインバウンド客に関しては、中国からの客を中心に、中国経済の減速や内外価格差がなくなった影響で、高額品への関心が弱くなっている（東京都）。,
,東京都,□,百貨店（副店長）,お客様の様子,・今月は前年に比べ天候も安定していることに加え、集客催事の効果で店自体の売上は順調であるが、婦人服を中心とした衣料関連商材の動きは鈍い。客の購買行動は慎重で、景気の上昇気配の実感はなく、かえって下向きになりつつあるのかと感じている。,
,東京都,□,百貨店（店長）,お客様の様子,・出店施設の来客数や売上はほぼ横ばいである。当店はリニューアル工事のため一定区画が閉鎖されており、来客数が少ない。また、周辺オフィスワーカーの来店も減少しているように思える。買物客に笑顔が減った気がする（東京都）。,
,東京都,□,スーパー（販売担当）,お客様の様子,・客の様子を見ていると、広告初日の低価格商品やポイント何倍、クーポン利用など特典のある時間帯なり店舗をうまく使って買い回っている状況が多くみられる（東京都）。,
,東京都,□,スーパー（経営者）,販売量の動き,・今月は降雨もなく天候に恵まれ、売上はあと少しというところまで来ている。あと少し足りない要因は、前年の青果の相場高に反して今年は相場が大分安く、青果の売上が落ちていることが影響している。,
,東京都,□,スーパー（店長）,来客数の動き,・前年比で来客数が92％、客単価が99.6％、買上点数が97.8％である。外的要因がない中で来客数、単価、点数が全て前年を割っているのは、非常に厳しい。,
,東京都,□,スーパー（店長）,お客様の様子,・日々必要最低限の買物で買い回りをしており、余計に買物をしている様子は見受けられない（東京都）。,
,東京都,□,スーパー（総務担当）,お客様の様子,・今月も衣料品、住まいの品、食品共に前年を若干下回っている状況で進んでいる。来客数が前年より若干下回っているなかで、買上点数がそれほど伸びていない。客が価格に非常に敏感になっており、底値でないとなかなか販売数量が増えないという点で、購買も力強さがみられない。,
,東京都,□,コンビニ（経営者）,来客数の動き,・競合店の関係で、来客数が減少している（東京都）。,
,東京都,□,コンビニ（エリア担当）,来客数の動き,・来客数の前年割れの傾向が止まらず、同じ調子で悪い（東京都）。,
,東京都,□,衣料品専門店（役員）,販売量の動き,・冬物セール中でも来客数が少ない。,
,東京都,□,家電量販店（店長）,来客数の動き,・既存店の来客数の伸び悩みが続いている。インバウンドは来客数、客単価低減の影響が大きい（東京都）。,
,東京都,□,家電量販店（経営企画担当）,販売量の動き,・１月はインバウンド需要が弱含みの様相で、全体を押し下げているが、国内消費は堅調で売れ筋にも大きく濃淡が出ている。天候面の影響はないが、全体としては若干弱含みの状況である（東京都）。,
,東京都,□,乗用車販売店（経営者）,販売量の動き,・自動車の整備と販売をしている。整備は順調であるものの、販売は余り芳しくない。来客数は多いが、なかなか契約に結び付いていない。,
,東京都,□,乗用車販売店（総務担当）,お客様の様子,・客の動向が予想より鈍く、新車、サービス共に苦戦している。,
,東京都,□,その他専門店［ドラッグストア］（経営者）,販売量の動き,・販売量の動きをみると、来客数が減っている。,
,東京都,□,その他専門店［貴金属］（統括）,単価の動き,・低単価商材の購入が多く、売上全体としては低調である（東京都）。,
,東京都,□,その他小売［ゲーム］（開発戦略担当）,販売量の動き,・日本市場は成長に一旦区切りが付き、緩やかな下降を継続中という意味で変わりはない。海外も北米は引き続き好調のようだが、欧州アジアは鈍化傾向にある（東京都）。,
,東京都,□,高級レストラン（営業担当）,来客数の動き,・レストランの来客数、客単価など利用状況をみると、前年とほぼ同様の状況である（東京都）。,
,東京都,□,高級レストラン（役員）,来客数の動き,・年末年始、特に12月28日から正月三が日は前年同期と比較して来客数が多く活況であった（東京都）。,
,東京都,□,一般レストラン（経営者）,競争相手の様子,・忘年会は減っているが、新年会は更に減っている。周辺ホテルなどでは企業や団体で大分にぎわっているが、商店街の個人店では宴会の数は少なく、苦戦を強いられている（東京都）。,
,東京都,□,一般レストラン（経営者）,来客数の動き,・12月の忘年会は今一つであったが、年が明けてから新年会が多少入ったり、ランチの来客数が非常に増えている。フリー客も暇な日だと思っていた日に、結構な来客数が来たりしたので、若干プラスで推移をしている（東京都）。,
,東京都,□,一般レストラン（経営者）,来客数の動き,・ディナータイムの来客数は、忘年会がある12月は増えたが、１月になってまた下降に向かっている。,
,東京都,□,一般レストラン（経営者）,来客数の動き,・当社は飲食業と輸入業を営んでいる。最近３か月の動向では、飲食業は前年末～１月にかけての売上が増えているが、輸入卸売業務の売上は減少している。景気はそれほど悪いとは思わないが、決して良くはない。どちらかというと、当社の飲食業態は、好景気よりも景気が比較的低迷している時に来客数と売上が伸びる傾向にある。そのため、現在の景気は悪いとみた方がいいのかもしれない。,
,東京都,□,一般レストラン（スタッフ）,お客様の様子,・特に前と変わった様子はない。,
,東京都,□,旅行代理店（従業員）,お客様の様子,・例年の客は引き続き利用してくれている。,
,東京都,□,旅行代理店（販売促進担当）,販売量の動き,・新年を迎えたが、国内旅行販売が前年同期と比べても良くない。特に、一般の動きが遅い。海外は前年並みである（東京都）。,
,東京都,□,旅行代理店（総務担当）,お客様の様子,・旅行参加人員が増加傾向にあったが、止まっている（東京都）。,
,東京都,□,タクシー運転手,お客様の様子,・昼間は前年同様に利用がある。特に、病院への送り迎えが平均してある。また、周囲に工業団地があり、駅と会社への送り迎えも、日によっては利用の良い日がある。相変わらず夜の利用は少ない日が続いている。,
,東京都,□,通信会社（経営者）,お客様の様子,・客からのリアクションによる営業は前年と比較して減ってきている。こちらからのアプローチによるアクション営業での獲得は、前月比で横ばいだが減少傾向にはなっておらず、市場からネガティブな印象は受けていない。前年12月から始まった高度ＢＳ４Ｋ放送への反応は落ち着いてしまい、大きな動きにはなっていない（東京都）。,
,東京都,□,通信会社（営業担当）,販売量の動き,・通信、モバイルについては激しい競争が続いており、新しいサービスを打ち出さない限り、ここから抜け出せない感がある。,
,東京都,□,通信会社（局長）,販売量の動き,・不動産販売は繁忙期に差し掛かっているが、前年同期とほぼ変わらない契約状況で、伸長する材料が余りない（東京都）。,
,東京都,□,通信会社（営業担当）,お客様の様子,・新規加入、コース変更共に、必要最低限の内容を選択する傾向は変わらない。４Ｋ放送サービスも開始されたが、反応は鈍い。,
,東京都,□,通信会社（総務担当）,単価の動き,・年末年始の特需も落ち着き、一部商品は価格が上昇しているが、総体的には変化はない（東京都）。,
,東京都,□,通信会社（営業担当）,販売量の動き,・問合せの数等はここ３か月ほぼ変わりがない。さらに、当社を利用している加入者数にも特に変動がない（東京都）。,
,東京都,□,通信会社（経理担当）,単価の動き,・インターネットの高速通信サービスの利用料単価が毎月10円程度下がり続けている。値下げ競争がいつまで続くのか、４月に携帯電話料金の値下げで有線インターネット通信の価格が市場にどう受け取られるように変化するのか注視していく。,
,東京都,□,観光名所（職員）,来客数の動き,・３か月前の10月は観光客が来る時期で、１月は寺への初詣客が来るので、10月と１月ではさほど変わりがない（東京都）。,
,東京都,□,ゴルフ場（経営者）,お客様の様子,・３か月前と変わらず、客は忙しく、景気は良いようである。,
,東京都,□,ゴルフ場（従業員）,来客数の動き,・前年後半の株価下落による消費マインドの低下が懸念されたが、春先の予約状況は例年どおりの水準で堅調である。,
,東京都,□,その他サービス［保険代理店］（経営者）,来客数の動き,・前年と比較して来客数は変わらず、直近の３か月でもほとんど変化がない。新規客を期待しているものの増加しないので、固定客だけで何とか維持している。,
,東京都,□,設計事務所（経営者）,お客様の様子,・民間の場合、新規の取引先開拓は非常に難しい状況が続いている。官庁案件は成果品提出時期に当たり、新規受注は新年度までない。,
,東京都,□,設計事務所（所長）,お客様の様子,・資金的に変わりはないものの、計画への動きはかなり活発化してきている（東京都）。,
,東京都,□,設計事務所（職員）,それ以外,・補正予算後の発注案件は例年どおりであるが、小規模案件が多いように感じる。依然として好況感はない（東京都）。,
,東京都,□,住宅販売会社（従業員）,販売量の動き,・３か月前と比べて、特に大きな変化はない。アパート販売はいろいろ厳しくなったといわれており、サラリーマン投資家向けの融資は厳しくなっているが、資産家向けの融資は今もしっかり出ている。,
,東京都,□,住宅販売会社（従業員）,販売量の動き,・１～３月は、新学期を新居で迎えるために戸建て分譲住宅の動きが良くなる時期であるが、例年同様の販売量にとどまっており、景気が良いという実感はない。,
,東京都,▲,商店街（代表者）,来客数の動き,・最近の客の動向だが、来客数が若干減少している。商店街を通る客が買物袋を持っていないのは、買物をしていない人が増えているということである。物を買うことに対して、非常に慎重になっている。,
,東京都,▲,一般小売店［和菓子］（経営者）,販売量の動き,・今年は例年に比べて正月休みが短かったせいか、正月の需要を余り取れなかった。,
,東京都,▲,一般小売店［家電］（経理担当）,販売量の動き,・今月は天候が良いこともあり、来店する客もコンスタントにいるが、買う物は細かい商材が多いので、なかなか売上につながらない。,
,東京都,▲,一般小売店［家具］（経営者）,お客様の様子,・客が商品を買いに来ているのか、見に来ているのかが分からないような状態で、販売に結び付けるのが非常に大変である（東京都）。,
,東京都,▲,一般小売店［印章］（経営者）,来客数の動き,・当地域では地域振興券という商品券を発売して、流通している。利用者は２～３名の少額利用で、当店の商材が動いてないのか、余り変化がない。非常に厳しい状況である。,
,東京都,▲,一般小売店［傘］（店長）,来客数の動き,・ウィンドウショッピングや衝動買いをする人が少なく、年が明けてから来客数が激減している。,
,東京都,▲,一般小売店［生花］（店員）,お客様の様子,・天候に大分左右されている。好天で関東では雨も降らないが、インフルエンザにかかったり、とても寒いので外に出るのがややおっくうという感じがある（東京都）。,
,東京都,▲,一般小売店［茶］（営業担当）,単価の動き,・時給の高騰で定休日を増やしイベントを開催したが、売上、来客数共に減っている。,
,東京都,▲,百貨店（売場主任）,来客数の動き,・生活必需品の値上げや暖冬の影響等もあり、厳しい状況である。,
,東京都,▲,百貨店（売場主任）,販売量の動き,・今年に入ってからやや潮目が変わっている。関東では、食料品は前年を超えていたのだが、マイナス0.5くらいで推移している。来客数と販売量が減っているが、食料品以外でも同じ傾向になっており、今年に入り若干の減速は否めない（東京都）。,
,東京都,▲,百貨店（営業担当）,単価の動き,・店舗全体の売上については厳しい状況が続いている。商品構成は大きく変化しており、３か月前は絵画、貴金属等の高額品の動きが良かった反面、アパレル関連、服飾雑貨関連の動きが厳しかったが、今月は、高額品の動きが厳しくなる一方、アパレル、婦人雑貨関連に復調傾向がみられる。なお、食料品関連は、お歳暮時期は厳しかったが、通常時期に戻って前年を捉えるようになり、若干のプラスに転じている。ただし、全体の商品単価については、前年と比較して２％下落しており、売上減の要素の一つと推察される（東京都）。,
,東京都,▲,百貨店（営業担当）,販売量の動き,・朝早くから多くの客の開店待ちがあった初商以降、天候の影響もあり来店客数は増加しているが、例年人気の福袋は実用性の高い食品中心で、株価や為替の影響か、宝飾関連の高額福袋や絵画、工芸品などが苦戦している。また、中国電子取引法の規制強化により、代理購入者でも営業許可証の取得が必要となり、化粧品などの購買に影響し、インバウンド効果が鈍化している（東京都）。,
,東京都,▲,百貨店（営業担当）,単価の動き,・都内基幹店においては、来客数が前年比98％、売上高が前年比95％と、来客数と比較して単価ダウンの傾向にある。これまで商売をけん引してきた、特選品、宝飾時計など高額品の苦戦と、インバウンド売上の低下が前年11月より継続している（東京都）。,
,東京都,▲,百貨店（販売促進担当）,来客数の動き,・年明けは好調にスタートしたものの長くは続かず、外国人客を含め、来客数の減少が続いている（東京都）。,
,東京都,▲,百貨店（販売促進担当）,お客様の様子,・前年１月は競合店の閉店セールの影響を大きく受けたため、今年は前年に対して回復し、プラスを見込んでいた。一方、３か月前と比較すると、販売数量や購入者数の伸長率が鈍くなってきており、客の様子を見ても景気はやや悪くなっている。,
,東京都,▲,百貨店（販売促進担当）,来客数の動き,・インバウンド売上が12月から減少傾向にあり、12月後半に盛り返したものの、１月に入って減少傾向が更に顕著になっている（東京都）。,
,東京都,▲,百貨店（店長）,販売量の動き,・株価の低迷や外交、防衛などの国際情勢が不透明感を増すなかで、全体的に財布のひもが固くなってきているようである。,
,東京都,▲,スーパー（営業担当）,単価の動き,・生鮮、特に青果物の単価が落ち込み、全体的な単価もそれに引っ張られるように落ちている。さらに、来客数も伸び悩んでおり、その分相当落ち込んでいる（東京都）。,
,東京都,▲,スーパー（販売促進担当）,販売量の動き,・衣料品は落ち込みが大きく、平均買上単価は前年並みで、買上点数の減少が響いている。食品も同様の傾向、住居、生活用品は上昇傾向にある。気温に左右される商材の動向は不振である。,
,東京都,▲,スーパー（仕入担当）,来客数の動き,・客は買物をしに来店する頻度を減らしている。,
,東京都,▲,コンビニ（経営者）,来客数の動き,・大分寒い日が続いているので、客足が悪い。,
,東京都,▲,コンビニ（経営者）,来客数の動き,・今月は異例で、雨も全く降っていないため、通常なら増えるはずの来客数が減っているので、下向きと考えている。,
,東京都,▲,衣料品専門店（経営者）,販売量の動き,・12月後半から売上が伸び悩み、年明けのバーゲンでも単価が落ちている。余分な物は買わない様子がうかがえる。,
,東京都,▲,衣料品専門店（店長）,販売量の動き,・成人式等、季節商材の売行きが従来に比べて落ちこんでいる。家族などの手持ちの晴れ着を利用し、式典に行くケースが増えている。購入よりもレンタル、シェア消費が増加している（東京都）。,
,東京都,▲,衣料品専門店（営業担当）,販売量の動き,・とにかく物を買わない雰囲気である。今月も前年の達成率が96％、一昨年との達成率は83％で、かなり落とした前年に対しても未達成という状況が続いている。約２年前に老舗のデパートが閉店して当店のターゲットである年配層の来店が大幅に減少し、売上につながらない。,
,東京都,▲,住関連専門店（統括）,販売量の動き,・消費税10％に向けて、若干買い控えが出ている。１件単価、１品単価共に下がった状態が続いている。,
,東京都,▲,その他専門店［ドラッグストア］（経営者）,来客数の動き,・例年以上にインフルエンザが流行っているため、全体的に客足が遠のいている。外出を控えるという客も多い。,
,東京都,▲,高級レストラン（経営者）,来客数の動き,・前年比マイナス10％である。,
,東京都,▲,一般レストラン（経営者）,来客数の動き,・毎年のことだが、１月は売上が悪い。３か月前と比べると２～３割は落ち込んでいる。寒さのせいもある。毎年のことなのでそんなに悲観することはないが、売上はやや悪い。,
,東京都,▲,その他飲食［給食・レストラン］（役員）,販売量の動き,・取引先の節約志向の高まりから、12月は例年に比べて宴会需要の盛り上がりに欠けたほか、冬季に突入したことから保養所等の売上が例年どおり低調となっている（東京都）。,
,東京都,▲,旅行代理店（経営者）,お客様の様子,・天候不順もあるが、北海道、東北は大雪や吹雪、日本海側も大分天候が荒れているので、来店客はなく、電話での問合せが多い。自分の行きたいところに思うように行けないようなので、余り景気は良くないのではないか。,
,東京都,▲,旅行代理店（営業担当）,販売量の動き,・販売量が前年同期と比較して減少している。,
,東京都,▲,タクシー運転手,お客様の様子,"・２年前に初乗り短縮運賃を開始して以来、乗務回数は増えたが、運送収入は減っている。好景気の時は、ロング客といえば１万円以上といわれていたが、最近は5,000円を超えれば上客といわれる時代になっている。深夜も客足が早く引けるため、昼間の時間帯に稼働しないと経営が成り立たなくなってきており、景気は良くない（東京都）。",
,東京都,▲,タクシー運転手,来客数の動き,・夜を主体に仕事をしているが、夜の客はほとんど動きがなくなってきている（東京都）。,
,東京都,▲,タクシー運転手,お客様の様子,・客の様子だが、主婦層の客から、景気が良くなっているというが全く実感がないという話を聞くことが非常に多い。タクシーに関しても、１～２月は季節的に良くない（東京都）。,
,東京都,▲,タクシー（団体役員）,来客数の動き,・タクシー利用実績は前年６月より毎月前年同月を下回っており、一向に上向かない。特に、１月は大幅に落ち込んでいる。,
,東京都,▲,通信会社（営業担当）,販売量の動き,・携帯電話サービスの契約数が他社との価格競争の影響により、以前のような伸びがなくなっている。,
,東京都,▲,ゴルフ場（従業員）,来客数の動き,・正月が終わり、酷寒で動きが止まってしまった感がある。景気が良い時は仕事も遊びももっとパワーがあった。,
,東京都,▲,パチンコ店（経営者）,来客数の動き,・パチンコは良い機械がしばらく出ていないため、全国的に苦戦している。スロットは機械は出ていないが、規制の延期があり、面白い機械がまだ使えているので、どうにか踏ん張っている。全体としてはややダウンしている（東京都）。,
,東京都,▲,パチンコ店（経営者）,来客数の動き,・今回の年末年始の休日は暦的に良い形で迎えられ、売上面でも前年並み、あるいは前年をやや上回る成績を残している。一方、月後半は集客、売上共に停滞気味である。,
,東京都,▲,競輪場（職員）,単価の動き,・最終レースのみ急激に売れるという正月景気のような現象がしばらくあったが、15日を過ぎた頃から１日の単価は例年どおりの動きに戻っている。,
,東京都,▲,美容室（経営者）,来客数の動き,・寒さのため、来店頻度が鈍っている。,
,東京都,▲,その他サービス［電力］（経営者）,販売量の動き,・１戸当たりの電気使用量は、冬季に入ったこともあり前月は上回ったものの、前年同月と比べると減少している（東京都）。,
,東京都,▲,設計事務所（所長）,お客様の様子,・当社の建築、設計から見ると、新築物件が非常に少なく、ほとんどが改修、増築程度で終わっている。公共施設もほとんどが改修工事等で大型新築物件はない。,
,東京都,▲,住宅販売会社（経営者）,販売量の動き,"・当社は不動産デベロッパー業と総合建設業である。ここ２～３年、住宅の売行きがかなり悪い。住宅取得のための生前贈与が以前は3,500万円あったが、現在は700万円になり、住宅ローン減税も少なくなっている。ローン金利が低くても、物価と金利が上昇すれば、給料が上がらない現状では不安になってしまう。一方、請負工事は、工事原価が異常に上昇しているため、公共工事では赤字になってしまうこともある。",
,東京都,▲,住宅販売会社（従業員）,販売量の動き,・今月の販売量は目標数字の約80％となり、３か月前と比べてもやや悪くなっている。年末年始に具体的な商談回数が減り、成約、販売までに至らず、消費税再増税前の駆け込みも落ち着いてしまっている。,
,東京都,▲,その他住宅［住宅管理・リフォーム］（経営者）,競争相手の様子,・前年の10月以降話がほとんど来ていない。同業者にも聞いたが、非常に悪いとの話で、相変わらず厳しい状況である。,
,東京都,▲,その他住宅［住宅資材］（営業）,お客様の様子,・建築資材の荷動きが停滞している。一部のユーザーに仕事が集中している傾向にあり、全体的には忙しいという声は聞こえてこない（東京都）。,
,東京都,×,一般小売店［祭用品］（経営者）,来客数の動き,・年明け当初のみ来客があったが、徐々に減少している。,
,東京都,×,百貨店（営業企画担当）,販売量の動き,・訪日外国人消費が前年を２けた割っている。また、富裕層も頭打ち感がある（東京都）。,
,東京都,×,コンビニ（経営者）,単価の動き,・近隣に競合店が３店オープンしたため、悪くなっている。,
,東京都,×,その他小売［生鮮魚介卸売］（営業）,来客数の動き,・年が明けてから人が来なくなったので、毎日早じまいしている（東京都）。,
,東京都,×,一般レストラン（経営者）,販売量の動き,・３か月前の10月１～29日までの前年比は売上103.9％、来客数102.5％である。１月１～29日までの前年比は売上93.8％、来客数92.9％である（東京都）。,
,東京都,×,都市型ホテル（スタッフ）,来客数の動き,・年が明けると明らかなオフシーズンとなるため、来客数の動きが非常に悪くなる。,
"企業
動向
関連

(南関東)",東京都,◎,－,－,－,
,東京都,○,出版・印刷・同関連産業（経営者）,それ以外,・今年は統一地方選挙と参議院選挙が重なる年なので、少しずつだが印刷物に関しての動きも出てきたように感じられる。,
,東京都,○,出版・印刷・同関連産業（営業担当）,受注量や販売量の動き,・印鑑、名刺印刷の仕事をしている。法人と個人の客がいるが、１月は会社の設立に関する印鑑の注文が８本あった。通常は４～５本であるが、子会社を作る会社と、税理士法人に組織替えをするということで、注文が多く出ている（東京都）。,
,東京都,○,建設業（従業員）,受注量や販売量の動き,・解体業だが、２か月ほど先の受注が決まっている。,
,東京都,○,広告代理店（従業員）,受注価格や販売価格の動き,・ラグビーワールドカップ関連の業務が増えてきている。,
,東京都,○,税理士,取引先の様子,・米国の株価下落など悪い材料が多いように思えた年明けではあったが、株価も安定し、為替への影響もさほどなく、上向き傾向にある。関東地方は正月明けから晴天に恵まれ、観光を妨げる要因は見当たらない。,
,東京都,○,その他サービス業［警備］（経営者）,取引先の様子,・慢性的な人手不足は改善できないが、単価アップにより業務改善を図っており、内容は良くなってきている。,
,東京都,○,その他サービス業［情報サービス］（従業員）,受注量や販売量の動き,・受注数が伸びてきている。,
,東京都,□,食料品製造業（経営者）,受注価格や販売価格の動き,・原材料、包材が値上がりしているが、受注価格は上げてもらえず、利益が下がってしまっている。,
,東京都,□,出版・印刷・同関連産業（経営者）,取引先の様子,・年明けは前年末の仕事の残りでかなり忙しかったが、中旬からは仕事が少なくなっている。,
,東京都,□,金属製品製造業（経営者）,受注価格や販売価格の動き,・見積りの件数は多いものの、価格が折り合わず納期も短く、受注に至らない。難しい仕事は少し高くても決まるが、初心者がするような仕事が決まらず、後継者の育成ができずに困っている。,
,東京都,□,一般機械器具製造業（経営者）,受注量や販売量の動き,・仕事量は変わっていないが、先行きにやや不安が出ている。,
,東京都,□,その他製造業［鞄］（経営者）,取引先の様子,・直接的な要因は取引先との数量等で、景気は変わっていない。ただし、内容によっては仕事が消える、あるいは材料屋が暇であるという情報が入っている。,
,東京都,□,建設業（経営者）,受注価格や販売価格の動き,・商材が希望価格で売れない。,
,東京都,□,建設業（経営者）,受注量や販売量の動き,・計画していた受注が順調に進んでいる。中には単価の上昇により折り合わず、調整している物件もある。ただし、製造業は若干下がり気味のようである。,
,東京都,□,建設業（経理担当）,受注量や販売量の動き,・契約に結び付くような商談が大分減っている。年度末になるのに、飛び込みで入るような仕事も余り見えない。,
,東京都,□,輸送業（経営者）,取引先の様子,・新規案件が増加している（東京都）。,
,東京都,□,輸送業（経理担当）,それ以外,・受注量は余り変化はないが、相変わらず人手不足と人件費の上昇、燃料費の高騰が続き、収益が伸びない。,
,東京都,□,輸送業（総務担当）,取引先の様子,・物量は上向いているが、燃料費や人件費の増加により、景気が上向きと感じるにはまだまだである。,
,東京都,□,通信業（広報担当）,受注量や販売量の動き,・前月大きく落ち込んだが、今月は幾らか盛り返している。一進一退の傾向が続いている（東京都）。,
,東京都,□,金融業（統括）,取引先の様子,・取引先の状況が余り大きく変化していない。マインド的にも前回と同じような形である。,
,東京都,□,金融業（総務担当）,取引先の様子,・年末から年始にかけてのカレンダーの並びが良いため、旅行に行く人が多く、旅行業やホテル業は売上が増加しているが、小売店、スーパーは来客数が減り、売上も減少している。不動産業は駅周辺の物件の動きは良いが、駅から離れた物件はやや売れ残る傾向にある。運送業では燃料高騰が続き、利益を圧迫している。総体的に景気は変わらない（東京都）。,
,東京都,□,不動産業（経営者）,競争相手の様子,・バス停から歩いて６分、前年８月完成の鉄筋コンクリート５階建て１Ｋ１Ｒの15室は３室のみ契約となっている。近隣のバス停から歩いて５分、前年７月完成の木造２階建て２ＬＤＫは契約がない。依然として新築の苦戦が続いている（東京都）。,
,東京都,□,不動産業（総務担当）,取引先の様子,・貸しビル業が主力であるが、空きスペースがなくテナントからの増床要望に応えられないケースも出ている。オフィススペースのニーズは旺盛と感じる（東京都）。,
,東京都,□,広告代理店（営業担当）,受注価格や販売価格の動き,・会社の状況としては、引き続き売上予算をクリアしている（東京都）。,
,東京都,□,税理士,それ以外,・夜、健康のために最寄り駅まで歩いているが、商店街に多くある飲食店で流行っているのは駅前の安価な中華チェーン店くらいで、その他の店は客が余り入っていない（東京都）。,
,東京都,□,社会保険労務士,取引先の様子,・返済不要の助成金の活用を考えている会社が多く見受けられる（東京都）。,
,東京都,□,その他サービス業［廃棄物処理］（経営者）,受注量や販売量の動き,・ほぼ前年同様に推移している。,
,東京都,□,その他サービス業［ビルメンテナンス］（経営者）,受注量や販売量の動き,・新規の契約単価は、人手不足と最低賃金の上昇を含めた市場単価に連動して上がってきているが、既存の契約単価が変わらない（東京都）。,
,東京都,▲,出版・印刷・同関連産業（営業担当）,取引先の様子,・製本、紙加工関連の下請業者２社が業績不振で廃業している（東京都）。,
,東京都,▲,化学工業（総務担当）,取引先の様子,・３か月前は、台風を始めとする異常気象による需要減退から回復すると共に、原油高による諸材料の高騰で仮需的な動きがあったが、正月明けからは荷動きが明らかに落ちている。今までけん引してきた電子材料の勢いに陰りがみられる。インバウンド需要は堅調である。,
,東京都,▲,プラスチック製品製造業（経営者）,受注量や販売量の動き,・好調だった化粧品容器の受注が、客の棚卸と米中貿易摩擦の影響か、突然保留にされている。,
,東京都,▲,金属製品製造業（経営者）,取引先の様子,・取引先は建機メーカーだが、先の内示情報を下方修正している。,
,東京都,▲,建設業（経営者）,受注量や販売量の動き,・職人不足、資材の高騰で価格が折り合わない。,
